leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
LALIGA,2,"{'Caco Morán':'21''','Pacheta':'80'''}","{'José Manuel':'21'''}","{'José Manuel':'25'''}",,,"{'Ojeda':'Rubén Navarro,64''','Muñiz':'Nagore,71''','David Pirri':'Caco Morán,83'''}",Numancia,,,,,,980096400000,2001-01-21,2000/2001,0,,,"{'O. Téllez':'67''','Pablo':'16'''}",,,"{'I. Alonso':'Magno,46''','I. Tomic':'Jordi Cruyff,63'''}",Alavés,,,,,,19,
LALIGA,1,"{'J. Carew':'78'''}","{'Mendieta':'78'''}","{'M. Djukic':'38''','R. Ayala':'42''','M. Pellegrino':'27''','R. Baraja':'89'''}",,,"{'Diego Alonso':'Juan Sánchez,67''','J. Björklund':'M. Angulo,81''','Milla':'R. Baraja,90'''}",Valencia,,,,,,974581200000,2000-11-18,2000/2001,1,"{'I. Alonso':'66'''}","{'D. Geli':'66'''}","{'Desio':'37''','I. Tomic':'62''','Javi Moreno':'59''','Jordi Cruyff':'45'''}",,,"{'I. Alonso':'Magno,62''','Ibón Begoña':'Jordi Cruyff,86'''}",Alavés,,,,,,11,
LALIGA,0,,,"{'Alfredo':'30''','Mateo':'33''','Lekumberri':'71'''}",,,"{'Ángel Luis':'Sabino,53''','Alfonso Vera':'Alfredo,53''','Arpón':'Yanguas,76'''}",Osasuna,,,,,,970423200000,2000-10-01,2000/2001,2,"{'I. Alonso':'90'''}",,"{'M. Astudillo':'89''','C. Contra':'26'''}",,,"{'Magno':'D. Eggen,60''','D. Geli':'Ibón Begoña,71''','I. Alonso':'Javi Moreno,85'''}",Alavés,,,,,,4,
LALIGA,2,"{'F. Rufete':'47''','Txomin Larrainzar':'23'''}","{'F. Rufete':'23'''}","{'Sandro':'55'''}",,,"{'K. Musampa':'Agostinho,64''','Edgar':'Sandro,74''','Rojas':'F. Rufete,87'''}",Málaga,,,,,,987962400000,2001-04-22,2000/2001,1,"{'O. Téllez':'61'''}","{'C. Contra':'61'''}","{'Jordi Cruyff':'66''','C. Contra':'67'''}",,,"{'Javi Moreno':'Ibón Begoña,35''','Magno':'Desio,57''','J. Vucko':'Azkoitia,59'''}",Alavés,,,,,,31,
LALIGA,4,"{'F. George':'47''','M. Nadal':'5''','S. Eto''o':'82''','L. Biagini':'72'''}",,"{'G. Siviero':'46'''}",,,"{'G. Siviero':'Niño,32''','Á. Novo':'A. Luque,49''','L. Biagini':'V. Engonga,63'''}",Mallorca,,,,,,992206800000,2001-06-10,2000/2001,2,"{'Azkoitia':'57''','Karmona':'4'''}",,"{'M. Astudillo':'46''','Jordi Cruyff':'46''','Azkoitia':'46'''}",,,"{'I. Alonso':'Magno,57''','Raúl Gañán':'I. Tomic,72'''}",Alavés,,,,,,37,
LALIGA,0,,,"{'Cristóbal':'14''','M. Arteaga':'79'''}",,"{'M. Arteaga':'90'''}","{'M. Arteaga':'T. Velamazán,55''','M. Posse':'Sergio,69''','Serrano':'Òscar,69'''}",Espanyol,,,,,,972237600000,2000-10-22,2000/2001,1,"{'I. Alonso':'75'''}",,"{'I. Tomic':'89''','Magno':'33''','O. Téllez':'68'''}",,,"{'I. Alonso':'Javi Moreno,69''','Azkoitia':'Magno,80''','D. Eggen':'Jordi Cruyff,90'''}",Alavés,,,,,,6,
LALIGA,2,"{'Elvir Bolić':'83''','Míchel Sánchez':'23'''}",,"{'Luis Cembranos':'52''','Setvalls':'90''','Quevedo':'6''','Poschner':'3''','Alcázar':'45'''}",,"{'Quevedo':'45'''}","{'Bartelt':'Luis Cembranos,60''','Ivan Iglesias':'Alcázar,60''','Bolo':'Glaucio,80'''}",Rayo Vallecano,,,,,,984330000000,2001-03-11,2000/2001,4,"{'Ibón Begoña':'50''','I. Tomic':'46''','Javi Moreno':'45''','C. Contra':'90'''}","{'Ibón Begoña':'46''','I. Tomic':'45''','Javi Moreno':'50'''}","{'Desio':'69''','D. Geli':'85''','Azkoitia':'89''','Herrera':'90''','D. Eggen':'65''','C. Contra':'65'''}","{'O. Téllez':'53'''}",,"{'Karmona':'Pablo,56''','I. Alonso':'Javi Moreno,56''','Azkoitia':'Jordi Cruyff,70'''}",Alavés,,,,,,26,
LALIGA,0,,,"{'R. Acuña':'83'''}",,,"{'Yordi':'D. Montenegro,61''','J. Ferrón':'Jamelli,64''','Cuartero':'Sergey Gurenko,80'''}",Real Zaragoza,,,,,,981910800000,2001-02-11,2000/2001,1,"{'Jordi Cruyff':'17'''}","{'Javi Moreno':'17'''}","{'C. Contra':'77''','D. Geli':'68'''}",,,"{'I. Alonso':'Jordi Cruyff,75''','Azkoitia':'Pablo,75''','Ibón Begoña':'Javi Moreno,88'''}",Alavés,,,,,,22,
LALIGA,1,"{'I. Jáuregi':'55'''}","{'Iñigo Idiákez':'55'''}",,,,"{'Ó. De Paula':'E. Jankauskas,57''','D. Khokhlov':'López Rekarte,67''','J. De Pedro':'I. Gabilondo,77'''}",R. Sociedad,,,,,,973098000000,2000-11-01,2000/2001,0,,,"{'C. Contra':'16''','I. Alonso':'90'''}",,,"{'Magno':'Pablo,46''','Mario Rosas':'O. Téllez,60''','I. Alonso':'Javi Moreno,75'''}",Alavés,,,,,,8,
LALIGA,2,"{'Aleksandr Mostovoy':'73''','Edu':'88'''}","{'Gustavo López':'73'''}","{'Aleksandr Mostovoy':'64''','Vagner':'36''','Tomás':'68'''}",,,"{'Aleksandr Mostovoy':'Jesuli,64''','Gustavo López':'J. Velasco,64''','E. Giovanella':'Vagner,79'''}",Celta,,,,,,983120400000,2001-02-25,2000/2001,2,"{'Javi Moreno':'32'''}",,"{'I. Tomic':'68''','Magno':'83''','D. Geli':'60''','O. Téllez':'36'''}",,,"{'Magno':'Ibón Begoña,61''','Azkoitia':'Pablo,68''','J. Sarriegi':'Jordi Cruyff,80'''}",Alavés,,,,,,24,
LALIGA,2,"{'Eusebio':'56''','Alberto':'90'''}","{'D. Ciric':'56'''}","{'P. Ricchetti':'73''','G. Heinze':'24''','Santamaría':'57'''}",,,"{'Eusebio':'Harold Lozano,45''','I. Kaviedes':'Pachón,70''','Alberto':'G. Heinze,75'''}",Real Valladolid,,,,,,986752800000,2001-04-08,2000/2001,4,"{'J. Vucko':'75'',89''','D. Eggen':'2''','I. Alonso':'16'''}","{'Ibón Begoña':'75'',89''','C. Contra':'16'''}","{'I. Alonso':'17'''}",,,"{'Karmona':'I. Tomic,55''','J. Vucko':'I. Alonso,73''','Jordi Cruyff':'Magno,82'''}",Alavés,,,,,,29,
LALIGA,1,"{'Víctor':'69'''}","{'Calleja':'69'''}","{'Q. Álvarez':'90''','G. Amor':'69'''}","{'Marioni':'13'''}",,"{'Escoda':'Jorge López,56''','G. Craioveanu':'Calleja,83''','Gracia':'Víctor,88'''}",Villarreal,,,,,,969220800000,2000-09-17,2000/2001,0,,,"{'O. Téllez':'63'''}",,,"{'Magno':'Ibón Begoña,46''','I. Alonso':'Jordi Cruyff,46''','D. Geli':'Desio,68'''}",Alavés,,,,,,2,
LALIGA,1,"{'Morán':'60'''}",,"{'Arzeno':'','Ismael Ruiz':'','Espina':''}",,,"{'Magallanes':'M. Regueiro,45''','Morán':'Manjarín,45'''}",Racing,,,,,,989172000000,2001-05-06,2000/2001,5,"{'Raúl Gañán':'66''','Javi Moreno':'35'',73''','Jordi Cruyff':'16''','I. Alonso':'55'''}",,"{'D. Eggen':'','Jordi Cruyff':'','Magno':'','D. Geli':''}",,,"{'I. Alonso':'Magno,45''','Raúl Gañán':'Jordi Cruyff,62''','J. Vucko':'Javi Moreno,80'''}",Alavés,,,,,,33,
LALIGA,1,"{'Tomás':'37'''}","{'Catanha':'37'''}","{'E. Giovanella':'66''','Coira':'32'''}",,,"{'Coira':'J. Velasco,16''','Vagner':'Benni Mccarthy,46''','Jesuli':'Juanfran,75'''}",Celta,,,,,,974048400000,2000-11-12,2000/2001,2,"{'J. Etxeberría':'36''','J. Lacruz':'50'''}","{'Julen Guerrero':'50''','Ismael Urzaiz':'36'''}","{'A. Del Horno':'68''','Urrutia':'58'''}",,,"{'A. Del Horno':'Larrazábal,46''','Tiko':'J. Etxeberría,85''','F. Yeste':'Julen Guerrero,90'''}",Athletic,,,,,,10,
LALIGA,1,"{'R. Tamudo':'42'''}",,"{'Cristóbal':''}",,,"{'M. Arteaga':'Roger,70''','Serrano':'R. Tamudo,84'''}",Espanyol,,,,,,987357600000,2001-04-15,2000/2001,0,,,"{'Oskar Vales':'','P. Orbaiz':'','Ismael Urzaiz':''}",,,"{'F. Yeste':'Tiko,70''','Merino':'Julen Guerrero,84''','Cuéllar':'P. Orbaiz,84'''}",Athletic,,,,,,30,
LALIGA,0,,,"{'Guayre':'65''','Josico':'32''','Eloy Jiménez':'40''','G. Schürrer':'42'''}",,,"{'J. Larena':'Eloy Jiménez,63''','Guayre':'Pablo Lago,63''','Orlando':'Josico,82'''}",Las Palmas,,,,,,980701200000,2001-01-28,2000/2001,1,"{'Javi Moreno':'78'''}",,"{'Javi Moreno':'45''','I. Alonso':'80''','O. Téllez':'18'''}",,,"{'I. Alonso':'D. Geli,60'''}",Alavés,,,,,,20,
