leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
LALIGA,2,"{'Arsuaga':'36''','Olmedo':'56'''}",,,,,,Real Madrid,,,,,,-540432000000,1952-11-16,1952/1953,1,{'Ben Barek':'69'''},,,,,,Atlético,,,,,,10
LALIGA,2,"{'Bazán':'35'',58'''}",,,,,,CD Málaga,,,,,,-544665600000,1952-09-28,1952/1953,6,"{'E. Manchón':'2''','Moreno':'22''','A. Bosch':'75''','J. Vila':'84''','César Rodríguez':'40'',70'''}",,,,,,Barcelona,,,,,,3
LALIGA,1,{'Sarosy':'57'''},,,,,,Real Zaragoza,,,,,,-542851200000,1952-10-19,1952/1953,4,"{'Ben Barek':'29'',54''','Escudero':'64'',66'''}",,,,,,Atlético,,,,,,6
LALIGA,0,,,,,,,Racing,,,,,,-532569600000,1953-02-15,1952/1953,3,"{'Vilita':'43''','Silva':'65''','Pérez Payá':'12'''}",,,,,,Atlético,,,,,,20
LALIGA,3,"{'Barinaga':'13''','Paz':'84'''}",,,,,,R. Sociedad,,,,,,-531360000000,1953-03-01,1952/1953,4,"{'Agustín':'29''','Pérez Payá':'24''','Galbis':'44''','Miguel':'46'''}",,,,,,Atlético,,,,,,22
LALIGA,0,,,,,,,Sporting,,,,,,-533779200000,1953-02-01,1952/1953,1,{'Miguel':'40'''},,,,,,Atlético,,,,,,18
LALIGA,2,"{'Venancio':'31''','Piru Gainza':'83'''}",,,,,,Athletic,,,,,,-525916800000,1953-05-03,1952/1953,3,"{'A. Bosch':'66''','Moreno':'7'''}",,,,,,Barcelona,,,,,,30
LALIGA,1,{'Miguel':'89'''},,,,,,Atlético,,,,,,-533174400000,1953-02-08,1952/1953,6,"{'E. Basora':'46''','César Rodríguez':'3''','Moreno':'20'',67'',77'',82'''}",,,,,,Barcelona,,,,,,19
LALIGA,3,{'Buqué':'1'''},,,,,,Valencia,,,,,,-538012800000,1952-12-14,1952/1953,3,"{'Ben Barek':'34''','Callejo':'37''','Escudero':'13'''}",,,,,,Atlético,,,,,,12
LALIGA,2,"{'Doménech':'4'',86'''}",,,,,,Sevilla,,,,,,-530150400000,1953-03-15,1952/1953,4,"{'Ben Barek':'35'',62''','Escudero':'3''','Miguel':'73'''}",,,,,,Atlético,,,,,,24
LALIGA,2,"{'Ricardo':'31''','Coque':'8'''}",,,,,,Real Valladolid,,,,,,-527126400000,1953-04-19,1952/1953,2,"{'Miguel':'74''','Carlsson':'15'''}",,,,,,Atlético,,,,,,28
LALIGA,0,,,,,,,Celta,,,,,,-530150400000,1953-03-15,1952/1953,4,"{'Flotats':'9''','Hanke':'79''','A. Bosch':'84'''}",,,,,,Barcelona,,,,,,24
LALIGA,1,{'Mauri':'17'''},,,,,,Espanyol,,,,,,-538012800000,1952-12-14,1952/1953,2,"{'Hanke':'52''','Moreno':'72'''}",,,{'Hanke':'73'''},,,Barcelona,,,,,,12
LALIGA,3,"{'Corcuera':'16''','Lechuga':'27''','Moll':'72'''}",,,,,,Deportivo,,,,,,-545875200000,1952-09-14,1952/1953,4,"{'E. Basora':'64''','L. Kubala':'6''','Moreno':'2'',44'''}",,,,,,Barcelona,,,,,,1
LALIGA,1,{'Mahjoub':'8'''},,,{'Macala':'24'''},,,Racing,,,,,,-542851200000,1952-10-19,1952/1953,3,"{'Flotats':'22''','Moreno':'23'''}",,,{'Segarra':'24'''},,,Barcelona,,,,,,6
LALIGA,1,{'Grau':'22'''},,,,,,Sporting,,,,,,-532569600000,1953-02-15,1952/1953,3,"{'E. Basora':'25''','Hanke':'5''','E. Manchón':'19'''}",,,,,,Barcelona,,,,,,20
LALIGA,1,{'Basabe':'8'''},,,,,,Real Oviedo,,,,,,-534384000000,1953-01-25,1952/1953,4,"{'S. Gracia':'87''','E. Basora':'89''','César Rodríguez':'71''','Hanke':'39'''}",,,,,,Barcelona,,,,,,17
LALIGA,0,,,,{'Oliva':'28'''},,,Real Madrid,,,,,,-528336000000,1953-04-05,1952/1953,1,{'Moreno':'15'''},,,{'L. Kubala':'28'''},,,Barcelona,,,,,,26
