leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
PRML,0,,,,,,,Arsenal,,,,,,-578016000000,1951-09-08,1951/1952,1,"{'Tommy Thompson':'45'''}",,,,,,Aston Villa,,,,,,7,56860
PRML,2,"{'Willie Moir':'45''','Harry Webster':'90'''}",,,,,,Bolton Wanderers,,,,,,-571363200000,1951-11-24,1951/1952,4,"{'Don Roper':'90''','Doug Lishman':'45'',45'',90'''}",,,,,,Arsenal,,,,,,19,50790
PRML,1,"{'B. Smith':''}",,,,,,Chelsea,,,,,,-578880000000,1951-08-29,1951/1952,2,"{'Cliff Holton':'','Doug Lishman':''}",,,,,,Arsenal,,,,,,4,45768
PRML,3,"{'Charlie Wayman':'45'',45'',90'''}",,,,,,Preston North End,,,,,,-564105600000,1952-02-16,1951/1952,3,"{'Reg Lewis':'45'',45''','Don Roper':'45'''}",,,,,,Arsenal,,,,,,31,59949
PRML,3,"{'Arthur Stevens':'90'',90''','Bobby Brennan':'90'''}",,,,,,Fulham,,,,,,-573782400000,1951-10-27,1951/1952,4,"{'Cliff Holton':'45''','Doug Lishman':'45'',90'',90'''}",,,,,,Arsenal,,,,,,15,51178
PRML,1,"{'Don Howe':'90'''}",,,,,,Bolton Wanderers,,,,,,-569548800000,1951-12-15,1951/1952,1,"{'Billy Goffin':'90'''}",,,,,,Aston Villa,,,,,,21,28907
PRML,2,"{'Johnny Hart':'45''','Ron Phoenix':'90'''}",,,,,,Man. City,,,,,,-565920000000,1952-01-26,1951/1952,2,"{'Doug Lishman':'45'',90'''}",,,,,,Arsenal,,,,,,29,52527
PRML,1,"{'Peter Murphy':'45'''}",,,,,,Tottenham Hotspur,,,,,,-576201600000,1951-09-29,1951/1952,1,"{'Cliff Holton':'90'''}",,,,,,Arsenal,,,,,,11,72164
PRML,1,"{'Geoff Walker':'45'''}",,,,,,Middlesbrough,,,,,,-561081600000,1952-03-22,1951/1952,3,"{'Cliff Holton':'90''','Doug Lishman':'90''','Arthur Milton':'90'''}",,,,,,Arsenal,,,,,,35,50979
PRML,3,"{'Frank Griffin':'90''','Ronnie Allen':'45'',90'''}",,,,,,West Bromwich Albion,,,,,,-572572800000,1951-11-10,1951/1952,6,"{'Cliff Holton':'45'',45''','Jimmy Logie':'45''','Doug Lishman':'45'',45'',90'''}",,,,,,Arsenal,,,,,,17,50431
PRML,2,"{'Jimmy Glazzard':'45''','Jeff Taylor':'45'''}",,,,,,Huddersfield Town,,,,,,-579830400000,1951-08-18,1951/1952,2,"{'Cliff Holton':'45''','Ben Marden':'45'''}",,,,,,Arsenal,,,,,,1,51072
PRML,0,,,,,,,Burnley,,,,,,-574992000000,1951-10-13,1951/1952,1,"{'Reg Lewis':'45'''}",,,,,,Arsenal,,,,,,13,45531
PRML,3,"{'Stan Pearson':'30''','Jack Rowley':'11'''}",,,,,,Man. Utd,,,,,,-570153600000,1951-12-08,1951/1952,1,"{'Jimmy Logie':'85'''}",,,,,,Arsenal,,,,,,21,53451
PRML,1,,,,,,,Stoke City,,,,,,-558662400000,1952-04-19,1951/1952,4,"{'Cliff Holton':'45'',90''','Doug Lishman':'45'''}",,,,,,Arsenal,,,,,,40,44962
PRML,1,,,,,,,Blackpool,,,,,,-559094400000,1952-04-14,1951/1952,4,"{'Doug Lishman':'45'',90'''}",,,,,,Arsenal,,,,,,38,48445
PRML,0,,,,,,,Sunderland,,,,,,-578620800000,1951-09-01,1951/1952,3,"{'Doug Lishman':'45'',45'',90'''}",,,,,,Arsenal,,,,,,5,66137
PRML,2,"{'Johnny Walker':'45''','Les Smith':'45'''}",,,,,,Wolves,,,,,,-568944000000,1951-12-22,1951/1952,2,"{'Reg Lewis':'90'',90'''}",,,,,,Arsenal,,,,,,23,43644
PRML,1,"{'Charlie Vaughan':'45'''}",,,,,,Charlton Athletic,,,,,,-561859200000,1952-03-13,1951/1952,2,"{'Peter Goring':'45'',90'''}",,,,,,Arsenal,,,,,,33,35985
PRML,1,"{'Vic Keeble':'45'''}",,,,,,Newcastle,,,,,,-558921600000,1952-04-16,1951/1952,1,"{'Arthur Milton':'90'''}",,,,,,Arsenal,,,,,,39,51205
PRML,1,"{'Jimmy Scoular':'90'''}",,,,,,Portsmouth,,,,,,-568684800000,1951-12-25,1951/1952,4,"{'Peter Goring':'90''','Reg Lewis':'45''','Freddie Cox':'45''','Jimmy Logie':'45'''}",,,,,,Arsenal,,,,,,24,51241
PRML,1,"{'Reg Harrison':'90'''}",,,,,,Derby County,,,,,,-577411200000,1951-09-15,1951/1952,3,"{'Cliff Holton':'45'',90''','Doug Lishman':'90'''}",,,,,,Arsenal,,,,,,9,47151
PRML,0,,,,,,,Liverpool,,,,,,-578275200000,1951-09-05,1951/1952,0,,,,,,,Arsenal,,,,,,6,47483
PRML,1,"{'Johnny Dixon':'45'''}",,,,,,Aston Villa,,,,,,-567734400000,1952-01-05,1951/1952,2,"{'Don Roper':'45'',90'''}",,,,,,Arsenal,,,,,,27,51540
PRML,0,,,,,,,Blackpool,,,,,,-566524800000,1952-01-19,1951/1952,4,"{'Tommy Thompson':'90'',90''','Davy Walsh':'90''','Johnny Dixon':'90'''}",,,,,,Aston Villa,,,,,,28,33613
PRML,3,"{'Len Duquemin':'90'',90''','Sonny Walters':'90'''}",,,,,,Tottenham Hotspur,,,,,,-562291200000,1952-03-08,1951/1952,0,,,,,,,Aston Villa,,,,,,34,56475
PRML,0,,,,,,,Huddersfield Town,,,,,,-577843200000,1951-09-10,1951/1952,1,"{'Billy Goffin':'90'''}",,,,,,Aston Villa,,,,,,7,37233
PRML,1,"{'Tommy Powell':''}",,,,,,Derby County,,,,,,-579225600000,1951-08-25,1951/1952,4,"{'Davy Walsh':',','Johnny Dixon':','}",,,,,,Aston Villa,,,,,,3,37548
PRML,0,,,,,,,Portsmouth,,,,,,-564710400000,1952-02-09,1951/1952,2,"{'Davy Walsh':'90''','Johnny Dixon':'90'''}",,,,,,Aston Villa,,,,,,30,51179
PRML,1,"{'Arthur Stevens':'90'''}",,,,,,Fulham,,,,,,-559872000000,1952-04-05,1951/1952,4,"{'Billy Goffin':'90''','Tommy Thompson':'90''','Davy Walsh':'90''','Johnny Dixon':'90'''}",,,,,,Aston Villa,,,,,,36,17251
PRML,2,"{'Thomas Finney':'90''','Charlie Wayman':'90'''}",,,,,,Preston North End,,,,,,-573782400000,1951-10-27,1951/1952,3,"{'Colin Gibson':'90''','Johnny Dixon':'90''','Les Smith':'90'''}",,,,,,Aston Villa,,,,,,15,40504
PRML,3,"{'Harry Oscroft':'90''','John Sellars':'90''','Dennis Herod':'90'''}",,,,,,Stoke City,,,,,,-564105600000,1952-02-16,1951/1952,2,"{'Davy Walsh':'90'''}",,,,,,Aston Villa,,,,,,31,38200
PRML,2,"{'Charlie Vaughan':'90''','John Evans':'90'''}",,,,,,Charlton Athletic,,,,,,-572572800000,1951-11-10,1951/1952,0,,,,,,,Aston Villa,,,,,,18,34894
PRML,0,,,,,,,Bolton Wanderers,,,,,,-559872000000,1952-04-05,1951/1952,1,"{'S. Mortensen':'90'''}",,,,,,Blackpool,,,,,,36,17374
PRML,2,"{'Gordon Hurst':'90''','John Evans':'90'''}",,,,,,Charlton Athletic,,,,,,-574992000000,1951-10-13,1951/1952,1,"{'S. Mortensen':'90'''}",,,,,,Blackpool,,,,,,13,35724
