leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
SERIEA,1,"{'G. Popescu':'36'''}",,"{'Conticchio':'46''','Cristian Silvestri':'46'''}",,,"{'S. Cimirotič':'M. Vucinic,75''','Axel Konan':'G. Giacomazzi,86''','P. Billy':'Juárez,89'''}",Lecce,,,,,,1019401200000,2002-04-21,2001/2002,1,"{'J. Franco':'76'''}","{'C. Lucarelli':'76'''}",,,,"{'Asta':'G . Comotto,59''','C. Lucarelli':'D. De Ascentis,59''','Luigi Garzya':'Daniele Delli Carri,66'''}",Torino,,,,,,32,15973
SERIEA,5,"{'M. Jorgensen':'5'',62''','Roberto Muzzi':'81''','V. Iaquinta':'76'''}","{'D. Pizarro':'5''','Roberto Muzzi':'76''','M. Pieri':'62'''}","{'M. De Sanctis':'46'''}",,,"{'M. De Sanctis':'Luigi Turci,46''','V. Iaquinta':'R. Sosa,69''','Gennaro Scarlato':'M. Jorgensen,82'''}",Udinese,,,,,,1003676400000,2001-10-21,2001/2002,1,"{'Doni':'57'''}","{'L. Zauri':'57'''}","{'Doni':'46'''}","{'A. Pinardi':'89'''}",,"{'Rustico':'Massimo Paganin,58''','F. Rossini':'Rinaldi,64''','A. Pinardi':'L. Saudati,64'''}",Atalanta,,,,,,8,13000
SERIEA,2,"{'D. Trézéguet':'83''','A. Del Piero':'8'''}","{'A. Tacchinardi':'8''','M. Salas':'83'''}",,,,"{'F. O''neill':'G. Pessotto,67''','M. Salas':'A. Del Piero,70''','N. Amoruso':'D. Trézéguet,84'''}",Juventus,,,,,,1000047600000,2001-09-09,2001/2002,0,,,"{'Massimo Carrera':'46''','L. Sala':'46'''}",,,"{'F. Rossini':'L. Saudati,64''','A. Pinardi':'O. Dabo,64''','Corrado Colombo':'G. Comandini,77'''}",Atalanta,,,,,,2,26000
SERIEA,2,"{'F. Cossato':'77''','Massimo Marazzina':'11'''}","{'B. Corradi':'11''','Eugenio Corini':'77'''}","{'Massimo Marazzina':'46''','C. Lupatelli':'46''','N. Legrottaglie':'46''','Paolo Foglio':'46''','D''anna':'46'''}",,,"{'F. Cossato':'B. Corradi,57''','S. Lorenzi':'Manfredini,65''','Binotto':'Paolo Foglio,86'''}",Chievo,,,,,,1003071600000,2001-10-14,2001/2002,2,"{'Sussi':'83'''}","{'R. Baggio':'83'''}","{'Fabio Petruzzi':'46''','L. Toni':'46''','Alessandro Calori':'46''','A. Filippini':'46'''}",,,"{'Massimiliano Esposito':'F. Giunti,15''','L. Toni':'P. Guardiola,67''','M. Salgado':'Igli Tare,80'''}",Brescia,,,,,,7,17000
SERIEA,0,,,"{'Francesco Statuto':'46''','Gabriele Ambrosetti':'46'''}",,,"{'Caccia':'Di Francesco,63''','Matuzalém':'Francesco Statuto,65''','Gabriele Ambrosetti':'Paolo Poggi,76'''}",Piacenza,,,,,,1008514800000,2001-12-16,2001/2002,2,"{'D. Trézéguet':'90''','C. Ferrara':'36'''}","{'E. Maresca':'90''','D. Trézéguet':'36'''}","{'A. Tacchinardi':'46''','M. Iuliano':'46'''}",,,"{'A. Conte':'E. Davids,66''','E. Maresca':'P. Nedved,72''','A. Birindelli':'G. Pessotto,86'''}",Juventus,,,,,,15,36246
SERIEA,0,,,"{'Daniele Delli Carri':'46'''}",,,"{'Luigi Garzya':'D. De Ascentis,46''','Alessio Scarchilli':'Riccardo Maspero,72''','S. Vergassola':'B. Cauet,80'''}",Torino,,,,,,1004281200000,2001-10-28,2001/2002,3,"{'Luciano':'82''','Manfredini':'50''','Massimo Marazzina':'31'''}",,"{'D''angelo':'46''','Luciano':'46''','Lanna':'46''','Fabio Moro':'46'''}",,,"{'F. Cossato':'Massimo Marazzina,66''','Mayélé':'Manfredini,84''','Luigi Beghetto':'B. Corradi,88'''}",Chievo,,,,,,9,16521
SERIEA,0,,,"{'G. Giannichedda':'46'''}",,,"{'D. Stankovic':'Mendieta,61''','L. Castromán':'Paolo Negro,65''','S. Inzaghi':'C. López,76'''}",Lazio,,,,,,1004214600000,2001-10-27,2001/2002,2,"{'F. Totti':'90''','Marco Delvecchio':'49'''}","{'F. Lima':'90''','Émerson':'49'''}","{'F. Lima':'46'''}",,,"{'Marco Delvecchio':'Gabriel Batistuta,46'''}",Roma,,,,,,9,80000
SERIEA,0,,,"{'M. Rossi':'46'''}",,"{'D. Morfeo':'72'''}","{'M. Torricelli':'D. Adani,72''','P. Mijatovic':'Vanoli,76''','Maurizio Ganz':'Sandro Cois,82'''}",Fiorentina,,,,,,1009119600000,2001-12-23,2001/2002,2,"{'M. Di Vaio':'81''','Emiliano Bonazzoli':'71'''}",,,,,"{'A. Diana':'Luigi Sartor,46''','Emiliano Bonazzoli':'S. Milosevic,67''','Amedeo Mangone':'Johan Micoud,88'''}",Parma,,,,,,16,17000
SERIEA,2,"{'Á. Recoba':'74''','C. Vieri':'58'''}",,"{'V. Greško':'46''','L. Di Biagio':'46''','A. Guglielminpietro':'46'''}",,,"{'Á. Recoba':'S. Conceição,72''','G. Sorondo':'M. Materazzi,86''','N. Vivas':'A. Guglielminpietro,90'''}",Inter,,,,,,1010953800000,2002-01-13,2001/2002,0,,,"{'Sean Sogliano':'46''','Z. Vryzas':'46''','Fabio Bazzani':'46'''}",,,"{'F. Grosso':'Sean Sogliano,43'''}",Perugia,,,,,,18,18000
SERIEA,4,"{'Johan Micoud':'5''','H. Sukur':'8''','M. Di Vaio':'20'',90'''}",,,,,"{'Emiliano Bonazzoli':'H. Sukur,62''','A. Diana':'Luigi Sartor,68''','Sergey Gurenko':'Johan Micoud,75'''}",Parma,,,,,,1012748400000,2002-02-03,2001/2002,1,,,"{'Amedeo Mangone':'46''','A. Filippini':'46'''}",,,"{'R. Guana':'Binotto,46''','Yllana':'F. Giunti,46''','M. Schopp':'Filippini,46'''}",Brescia,,,,,,21,20000
SERIEA,2,"{'A. Mutu':'44'',53'''}",,"{'Leonardo Colucci':'46''','A. Mutu':'46''','Gonnella':'46''','V. Italiano':'46'''}",,,"{'G. Colucci':'M. Camoranesi,69''','A. Gilardino':'M. Frick,73'''}",Hellas Verona,,,,,,1010934000000,2002-01-13,2001/2002,3,"{'Marcos Assunção':'54''','Gabriel Batistuta':'90''','A. Cassano':'63'''}","{'Cafú':'63''','Émerson':'90'''}","{'W. Samuel':'46''','F. Totti':'46''','Zago':'46'''}",,,"{'Gabriel Batistuta':'J. Zebina,46''','A. Cassano':'Marco Delvecchio,62''','D. Tommasi':'Marcos Assunção,69'''}",Roma,,,,,,18,53000
