leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
SERIEA,2,"{'Josè Osvaldo Curti':'82''','Celestino Celio':'80'''}",,,,,,Padova,,,,,,-606355200000,1950-10-15,1950/1951,2,"{'Carlo Matteucci':'46''','G. Cappello':'43'''}",,,,,,Bologna,,,,,,6,
SERIEA,2,"{'G. Galli':'66''','Helge Bronee':'43'''}",,,,,,SSD Palermo,,,,,,-597888000000,1951-01-21,1950/1951,3,"{'Jørgen Sørensen':'24'',51'',81'''}",,,,,,Atalanta,,,,,,20,
SERIEA,1,"{'Riccardo Dalla Torre':'40'''}",,,,,,Fiorentina,,,,,,-602121600000,1950-12-03,1950/1951,0,,,,,,,Bologna,,,,,,13,
SERIEA,0,,,,,,,Pro Patria,,,,,,-596073600000,1951-02-11,1950/1951,1,"{'Jørgen Sørensen':'12'''}",,,,,,Atalanta,,,,,,23,
SERIEA,1,"{'Enrico Motta':'12'''}",,,,,,Torino,,,,,,-605750400000,1950-10-22,1950/1951,1,"{'Cesare Aldo Checchetti':'20'''}",,,,,,Atalanta,,,,,,7,
SERIEA,1,"{'Alceo Lipizer':'87'''}",,,,,,Como,,,,,,-588211200000,1951-05-13,1950/1951,2,"{'Battista Rota':'82''','Jørgen Sørensen':'3'''}",,,,,,Atalanta,,,,,,34,
SERIEA,7,"{'Gunnar Nordahl':'12'',57''','Renzo Burini':'44'',68''','Mario Renosto':'50''','N. Liedholm':'10'''}",,,,,,Milan,,,,,,-600307200000,1950-12-24,1950/1951,4,"{'Svend Jörgen Hansen':'9'',13'''}",,,,,,Atalanta,,,,,,16,
SERIEA,0,,,,,,,Sampdoria,,,,,,-606960000000,1950-10-08,1950/1951,0,,,,,,,Atalanta,,,,,,5,
SERIEA,1,"{'Mario Depatri':'54'''}",,,,,,Genoa,,,,,,-596678400000,1951-02-04,1950/1951,2,"{'Svend Jörgen Hansen':'37''','Jørgen Sørensen':'73'''}",,,,,,Atalanta,,,,,,22,
SERIEA,2,"{'André Roosenburg':'79''','Gian Carlo Vitali':'59'''}",,,,,,Fiorentina,,,,,,-593654400000,1951-03-11,1950/1951,0,,,,,,,Atalanta,,,,,,27,
