leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
SERIEA,1,,,,,,,Fiorentina,,,,,,-528249600000,1953-04-06,1952/1953,2,"{'Cesarino Cervellati':'7'',43'''}",,,,,,Bologna,,,,,,28,
SERIEA,1,,,,"{'Angelo Villa':'46'''}",,,Atalanta,,,,,,-531964800000,1953-02-22,1952/1953,3,"{'István Mike':'71''','Cesarino Cervellati':'18''','Giancarlo Bacci':'53'''}",,,"{'Domenico Laforgia':'46'''}",,,Bologna,,,,,,22,
SERIEA,2,"{'Euro Giannini':'55''','Erling Sørensen':'60'''}",,,,,,Triestina,,,,,,-541641600000,1952-11-02,1952/1953,5,"{'Poul Rasmussen':'41'',68'',71'',90''','Giuseppe Nuoto':'89'''}",,,,,,Atalanta,,,,,,7,
SERIEA,1,"{'Aziz Esel Bulent':'82'''}",,,,,,SPAL,,,,,,-525916800000,1953-05-03,1952/1953,0,,,,,,,Atalanta,,,,,,31,
SERIEA,0,,,,,,,Lazio,,,,,,-541036800000,1952-11-09,1952/1953,0,,,,,,,Atalanta,,,,,,8,
SERIEA,1,"{'Carlo Dossi':'48'''}",,,,,,Como,,,,,,-539222400000,1952-11-30,1952/1953,1,"{'Giuseppe Cadè':'20'''}",,,,,,Atalanta,,,,,,11,
SERIEA,1,"{'Silvio Formentin':'38'''}",,,,,,Napoli,,,,,,-534384000000,1953-01-25,1952/1953,1,"{'Jørgen Sørensen':'8'''}",,,,,,Atalanta,,,,,,18,
SERIEA,3,"{'Claudio Rimbaldo':'25''','Andrea Marzani':'9'''}",,,,,,Torino,,,,,,-529545600000,1953-03-22,1952/1953,1,,,,"{'Stefano Angeleri':'46'''}",,,Atalanta,,,,,,26,
SERIEA,0,,,,"{'Alberto Bertuccelli':'46'''}",,,Juventus,,,,,,-533779200000,1953-02-01,1952/1953,1,"{'István Mike':'28'''}",,,"{'Dino Ballacci':'46''','Jose Garcia':'46'''}",,,Bologna,,,,,,19,
SERIEA,0,,,,,,,Milan,,,,,,-535593600000,1953-01-11,1952/1953,2,"{'Domenico Laforgia':'9'',87'''}",,,,,,Bologna,,,,,,16,
SERIEA,1,"{'Stefano Nyers':'68'''}",,,,,,Inter,,,,,,-533779200000,1953-02-01,1952/1953,0,,,,"{'Battista Rota':'46'''}",,,Atalanta,,,,,,19,
SERIEA,5,"{'E. Pandolfini':'47''','Renzo Merlin':'19''','G. Galli':'6'',59'''}",,,,,,Roma,,,,,,-538012800000,1952-12-14,1952/1953,1,"{'Giuseppe Cadè':'33'''}",,,"{'Battista Rota':'46'''}",,,Atalanta,,,,,,13,
SERIEA,0,,,,,,,Como,,,,,,-540432000000,1952-11-16,1952/1953,1,"{'Jose Garcia':'3'''}",,,,,,Bologna,,,,,,9,
SERIEA,0,,,,,,,Novara Calcio,,,,,,-531360000000,1953-03-01,1952/1953,1,"{'Ennio Testa':'83'''}",,,,,,Atalanta,,,,,,23,
SERIEA,0,,,,,,,SSD Palermo,,,,,,-528940800000,1953-03-29,1952/1953,0,,,,,,,Atalanta,,,,,,27,
SERIEA,5,"{'R. Carapellese':'45'',84''','John Hansen':'80''','E. Muccinelli':'9''','Pasquale Vivolo':'60'''}",,,,,,Juventus,,,,,,-544665600000,1952-09-28,1952/1953,1,"{'Francesco Cergoli':'61'''}",,,,,,Atalanta,,,,,,3,
SERIEA,2,"{'Pietro Biagioli':'15''','Aldo Novelli':'55'''}",,,,,,Fiorentina,,,,,,-527731200000,1953-04-12,1952/1953,1,"{'Aurelio Santagostino':'81'''}",,,,,,Atalanta,,,,,,29,
SERIEA,0,,,,,,,Sampdoria,,,,,,-532569600000,1953-02-15,1952/1953,4,"{'Giuseppe Cadè':'28'',46''','Poul Rasmussen':'47''','Luigi Brugola':'44'''}",,,,,,Atalanta,,,,,,21,
SERIEA,0,,,,,,,Udinese,,,,,,-535593600000,1953-01-11,1952/1953,5,"{'Poul Rasmussen':'42'',49'',85''','Luigi Brugola':'33'',82'''}",,,,,,Atalanta,,,,,,16,
SERIEA,1,"{'Gunnar Nordahl':'5'''}",,,,,,Milan,,,,,,-523497600000,1953-05-31,1952/1953,1,"{'Ennio Testa':'41'''}",,,,,,Atalanta,,,,,,34,
SERIEA,1,"{'Per Bredesen':'86'''}",,,,,,Lazio,,,,,,-525916800000,1953-05-03,1952/1953,1,"{'István Mike':'28'''}",,,,,,Bologna,,,,,,31,
