leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,0,,,,,,"{'Artur Jorge':'Nené,58''','Rui Rodrigues':'Vítor Baptista,62'''}",Benfica,,,,,,88893000000,1972-10-25,1972/1973,3,"{'Roy Mcfarland':'8''','John Mcgovern':'41''','Kevin Hector':'28'''}",,,,,,Derby County,,,,,,octavos,36282
CHAMPIONS,1,"{'Anzarda':'41'''}",,"{'Anzarda':'','Verdugo':''}",,,"{'Aguilar':'Amancio,48'''}",Real Madrid,,,,,,88869600000,1972-10-25,1972/1973,2,"{'Ion Prepurgel':'62'''}",,"{'Constantin Radu':'','Ion Prepurgel':'','Constantin Olteanu':'','Radu Troi':''}",,,"{'Ion Roşu':'Radu Troi,46'''}",Argeş Piteşti,,,,,,octavos,15000
CHAMPIONS,1,"{'Bjørn Wirkola':'55'''}",,,,,"{'Øyvind Torp':'Geir Karlsen,27''','Arne Hanssen':'Bjørn Ødegaard,82'''}",Rosenborg BK,,,,,,85265100000,1972-09-13,1972/1973,2,"{'J. Deans':'45''','L. Macari':'15'''}",,,,,"{'Bobby Lennox':'P. Wilson,46'''}",Celtic,,,,,,1/16 final,18489
CHAMPIONS,0,,,"{'M. Sipahi':'57''','Bülent Ünder':'21'''}",,,"{'Nihat Akbay':'Yasin Özdenak,33''','E. Günalp':'Mehmet Özgül,39'''}",Galatasaray SK,,,,,,86472000000,1972-09-27,1972/1973,6,"{'F. Roth':'88''','Edgar Schneider':'35''','Gerd Müller':'14'',78''','Uli Hoeneß':'29'''}",,,,,"{'Franz Krauthausen':'R. Zobel,54'''}",Bayern München,,,,,,1/16 final,70000
CHAMPIONS,0,,,,,,"{'Diego De Colle':'Johny Schreiner,73'''}",Aris Bonnevoie,,,,,,86400000000,1972-09-27,1972/1973,4,"{'Constantin Radu':'5'',25''','Nicolae Dobrin':'2'''}",,,,,"{'Alexandru Mustăţea':'Marian Popescu,64''','Ion Barbu':'Constantin Olteanu,67'''}",Argeş Piteşti,,,,,,1/16 final,5000
CHAMPIONS,0,,,"{'Anton Hrušecký':''}",,,"{'Stanislav Martinkovic':'Jaroslav Masrna,7''','Vojtěch Varadín':'František Horváth,31'''}",FC Spartak Trnava,,,,,,101590200000,1973-03-21,1972/1973,2,"{'Kevin Hector':'39'',50'''}",,"{'A. Gemmill':''}",,,,Derby County,,,,,,cuartos,36272
CHAMPIONS,0,,,"{'Solis Andreou':''}",,,"{'Dimitris Kapousouzis':'Andreas Savva,76''','Antonakis Tsaklis':'Kattos Christou,77'''}",Omonia Nicosia,,,,,,88804800000,1972-10-24,1972/1973,9,"{'F. Roth':'43''','Edgar Schneider':'69'',82''','Gerd Müller':'14'',37'',54'',73'',74''','Uli Hoeneß':'25'''}",,,,,"{'Edgar Schneider':'F. Roth,63'''}",Bayern München,,,,,,octavos,11931
CHAMPIONS,0,,,,,,,Derby County,,,,,,90110700000,1972-11-08,1972/1973,0,,,,,,"{'Artur Jorge':'Nené,58''','Rui Rodrigues':'Vítor Baptista,62'''}",Benfica,,,,,,octavos,49978
CHAMPIONS,1,"{'Juan Veron':'59'''}",,"{'D. Domazos':'','A. Kapsis':''}",,,,Panathinaikos,,,,,,85255200000,1972-09-13,1972/1973,2,"{'Kiril Stankov':'71'''}",,,,,"{'Jordan Filipov':'P. Zhekov,60'''}",CSKA Sofia,,,,,,1/16 final,21901
CHAMPIONS,0,,,"{'F. Roth':'2'''}",,,,Bayern München,,,,,,100383300000,1973-03-07,1972/1973,4,"{'J. Cruyff':'88''','A. Haan':'53'',69''','Gerrie Mühren':'66'''}",,,,,,Ajax,,,,,,cuartos,53230
CHAMPIONS,2,"{'F. Bene':'46'',89'''}",,"{'Ede Dunai':''}",,,"{'L. Nagy':'A. Tóth,75'''}",Újpest FC,,,,,,86472000000,1972-09-27,1972/1973,3,"{'René Hasler':'64''','Walter Balmer':'74'',81'''}",,,,,"{'Bruno Rahmen':'Urs Siegenthaler,58'''}",Basel,,,,,,1/16 final,15962
CHAMPIONS,1,,,"{'Björn Friberg':'43'''}",,,"{'Conny Andersson':'Tommy Larsson,69''','A. Ljungberg':'Roland Paolucci,75'''}",Malmö,,,,,,86481900000,1972-09-27,1972/1973,4,"{'Eusébio':'65''','Jordao':'24''','António Simões':'29'''}",,,,,,Benfica,,,,,,1/16 final,34628
CHAMPIONS,3,"{'P. Keizer':'31''','S. Swart':'13''','A. Haan':'68'''}",,,,,"{'Johnny Rep':'J. Cruyff,63'''}",Ajax,,,,,,90090000000,1972-11-08,1972/1973,1,"{'P. Zhekov':'26'''}",,,,,"{'S. Iordanov':'Jordan Filipov,46''','T. Atanasov':'Plamen Iankov,75'''}",CSKA Sofia,,,,,,octavos,78000
CHAMPIONS,2,"{'Finn Johansen':'67'''}",,,,,"{'Tommy Hansen':'Flemming Serritslev,66'''}",Vejle BK,,,,,,85262400000,1972-09-13,1972/1973,4,"{'R. Rensenbrink':'59'',61''','I. Ejderstedt':'7''','P. Van Himst':'85'''}",,,,,"{'Eddy Lievens':'J. Volders,57'''}",Anderlecht,,,,,,1/16 final,7837
CHAMPIONS,1,"{'Jaroslav Masrna':'88'''}",,,,,,FC Spartak Trnava,,,,,,90100800000,1972-11-08,1972/1973,0,,,,,,"{'François Van Der Elst':'Jacky Stockman,73'''}",Anderlecht,,,,,,octavos,23548
CHAMPIONS,0,,,"{'Hubert Skowronek':'77''','Zygmunt Anczok':'68'''}",,,"{'Jan Banaś':'Władysław Szaryński,72'''}",KS Górnik Zabrze,,,,,,88884000000,1972-10-25,1972/1973,2,"{'A. Puzach':'75'''}",,"{'Vadim Sosnikhin':'80'''}",,,"{'Aleksandr Damin':'Sergei Dotsenko,23''','V. Muntyan':'A. Byshovets,26'''}",Dinamo Kiev,,,,,,octavos,100000
CHAMPIONS,2,"{'Radu Troi':'58'''}",,,,,"{'Ion Roşu':'Alexandru Mustăţea,46''','Radu Jercan':'Constantin Radu,75'''}",Argeş Piteşti,,,,,,85190400000,1972-09-13,1972/1973,0,,,,,,,Aris Bonnevoie,,,,,,1/16 final,350
CHAMPIONS,1,"{'F. Bene':'20'''}",,"{'S. Zámbó':'70'''}",,,"{'L. Nagy':'P. Juhász,72''','Jenő Kellner':'L. Fazekas,78'''}",Újpest FC,,,,,,88894800000,1972-10-25,1972/1973,2,"{'Kenny Dalglish':'60'',78'''}",,,,,"{'Pat Mccluskey':'Harry Hood,46''','Bobby Lennox':'J. Johnstone,75'''}",Celtic,,,,,,octavos,51515
CHAMPIONS,0,,,,,,"{'Plamen Iankov':'D. Marachliev,46'''}",CSKA Sofia,,,,,,91916100000,1972-11-29,1972/1973,3,"{'J. Cruyff':'4'',75''','H. Blankenburg':'16'''}",,,,,"{'Johnny Rep':'P. Keizer,82'''}",Ajax,,,,,,octavos,35027
CHAMPIONS,1,"{'P. Keizer':'8'''}",,"{'P. Keizer':'60'''}",,,"{'A. Mühren':'H. Blankenburg,26''','S. Swart':'Gerrie Mühren,88'''}",Ajax,,,,,,101592900000,1973-03-21,1972/1973,2,"{'Gerd Müller':'40'''}",,"{'G. Schwarzenbeck':'16'''}",,,"{'Edgar Schneider':'R. Zobel,70'''}",Bayern München,,,,,,cuartos,74194
CHAMPIONS,1,"{'Pirri':'83'''}",,"{'Amancio':'45'''}",,,,Real Madrid,,,,,,103407300000,1973-04-11,1972/1973,2,"{'B. Hulshoff':'67''','R. Krol':'77'''}",,"{'P. Keizer':'45'''}",,,"{'A. Mühren':'Heinz Schilcher,46'''}",Ajax,,,,,,semifinales,53234
CHAMPIONS,0,,,"{'Josip Bukal':'79''','Edin Sprečo':'23'''}",,,"{'Hajrudin Saračević':'Miloš Radović,46''','Dragan Kojović':'B. Jankovic,46'''}",Željeznicar,,,,,,85264200000,1972-09-13,1972/1973,2,"{'Roy Mcfarland':'38''','A. Gemmill':'50'''}",,,,,,Derby County,,,,,,1/16 final,27350
CHAMPIONS,0,,,,,,"{'H. Haller':'R. Bettega,49''','A. Cuccureddu':'F. Causio,57'''}",Juventus,,,,,,107641800000,1973-05-30,1972/1973,1,"{'Johnny Rep':'4'''}",,,,,,Ajax,,,,,,final,
CHAMPIONS,0,,,,,,"{'S. Longobucco':'A. Cuccureddu,67'''}",Juventus,,,,,,104614200000,1973-04-25,1972/1973,0,,,,"{'Roger Davies':'66'''}",,"{'A. Durban':'Steve Powell,46''','John Sims':'Peter Daniel,69'''}",Derby County,,,,,,semifinales,38444
