leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'E. Cavani':'62'''}","{'L. Kurzawa':'62'''}","{'Marquinhos':'90''','J. Draxler':'14''','M. Verratti':'90''','E. Cavani':'42''','B. Matuidi':'5'''}",,,"{'Á. Di María':'Lucas Moura,55''','S. Aurier':'J. Draxler,75''','G. Krychowiak':'T. Meunier,90'''}",PSG,30,3,4,25,4,1489005900000,2017-03-08,2016/2017,6,"{'L. Suárez':'3''','Sergi Roberto':'95''','Neymar':'88'''}","{'Neymar':'95'''}","{'Neymar':'64''','I. Rakitić':'61''','S. Busquets':'36''','L. Suárez':'67''','G. Piqué':'23'''}",,,"{'A. Turan':'A. Iniesta,65''','Sergi Roberto':'Rafinha,76''','A. Gomes':'I. Rakitić,84'''}",Barcelona,70,10,6,16,2,octavos,96.290
CHAMPIONS,0,,,"{'B. Chilwell':'38'''}",,,"{'M. Albrighton':'J. Schlupp,46''','L. Ulloa':'A. Musa,46''','H. Barnes':'D. Drinkwater,76'''}",Leicester,34,0,1,11,2,1481143500000,2016-12-07,2016/2017,5,"{'Diogo Jota':'77''','Y. Brahimi':'44''','André Silva':'6''','Jesús Corona':'26'''}","{'A. Telles':'26''','André Silva':'77''','M. Pereira':'44''','Jesús Corona':'6'''}",,,,"{'H. Herrera':'Jesús Corona,76''','Rúben Neves':'D. Pereira,77''','Rui Pedro':'André Silva,79'''}",Porto,66,7,4,8,0,6,39.310
CHAMPIONS,1,"{'Y. Carrasco':'62'''}","{'Juanfran':'62'''}","{'Juanfran':'70''','Filipe Luis':'4'''}",,,"{'K. Gameiro':'Á. Correa,57''','Saúl':'Y. Carrasco,89''','Tiago':'A. Griezmann,90'''}",Atlético,69,6,5,6,2,1476909900000,2016-10-19,2016/2017,0,,,"{'M. Mevlja':'28'''}",,,"{'A. Prepeliță':'S. Azmoun,75''','M. Doumbia':'D. Poloz,77'''}",FK Rostov na Donu,31,2,0,11,5,3,15400
CHAMPIONS,4,"{'G. Higuaín':'31''','M. Pjanić':'24''','P. Dybala':'57''','D. Alves':'85'''}","{'M. Pjanić':'31''','D. Alves':'57'''}",,,,"{'J. Cuadrado':'M. Pjanić,46''','M. Pjaca':'A. Barzagli,68''','M. Mandžukić':'G. Higuaín,71'''}",Juventus,72,7,6,13,0,1475009100000,2016-09-27,2016/2017,0,,,,,,"{'I. Fiolić':'Jonas,48''','A. Hodžić':'J. Fernándes,58''','P. Machado':'D. Antolić,72'''}",Dinamo Zagreb,28,0,0,10,3,2,23.875
CHAMPIONS,0,,,"{'J. Baumgartlinger':'71''','T. Jedvaj':'64'''}",,,"{'L. Bailey':'J. Brandt,78''','A. Mehmedi':'Chicharito,81''','C. Aránguiz':'K. Volland,88'''}",B. Leverkusen,56,6,4,8,4,1489610700000,2017-03-15,2016/2017,0,,,"{'N. Gaitán':'89''','J. Giménez':'66'''}",,,"{'N. Gaitán':'Á. Correa,64''','S. Savić':'Y. Carrasco,71'''}",Atlético,44,4,7,6,6,octavos,49.133
CHAMPIONS,1,"{'V. Tsygankov':'65'''}","{'S. Rybalka':'65'''}","{'D. Vida':'70''','N. Korzun':'27''','D. Garmash':'65'''}",,,"{'N. Korzun':'V. Buyalsky,22''','V. Tsygankov':'D. González,62''','O. Gladky':'Júnior Moraes,78'''}",Dinamo Kiev,49,5,4,19,3,1475095500000,2016-09-28,2016/2017,1,"{'R. Quaresma':'29'''}",,"{'T. Arslan':'55''','Adriano':'40'''}",,,"{'C. Tosun':'Adriano,68''','G. Inler':'T. Arslan,77''','K. Frei':'V. Aboubakar,85'''}",Beşiktaş,51,5,10,18,4,2,33.938
CHAMPIONS,1,"{'Jonathan Cafu':'45'''}","{'Marcelinho':'45'''}","{'Natanael':'77''','Wanderson':'67'''}",,,"{'Vitinha':'Natanael,80''','I. Plastun':'Wanderson,85''','L. Sasha':'S. Dyakov,90'''}",Ludogorets,44,2,0,17,2,1473799500000,2016-09-13,2016/2017,1,"{'R. Steffen':'79'''}",,"{'R. Steffen':'66'''}",,,"{'S. Doumbia':'M. Janko,39''','A. Fransson':'L. Zuffi,70''','D. Calla':'M. Delgado,82'''}",Basel,56,3,1,26,1,1,30.852
CHAMPIONS,2,"{'P. Aubameyang':'60''','M. Reus':'88'''}","{'P. Aubameyang':'88''','M. Schmelzer':'60'''}","{'Sokratis':'71'''}",,,"{'M. Reus':'A. Schürrle,61''','E. Mor':'C. Pulisic,61''','S. Rode':'G. Castro,80'''}",B. Dortmund,54,7,5,15,6,1481143500000,2016-12-07,2016/2017,2,"{'K. Benzema':'28'',53'''}","{'D. Carvajal':'28''','James':'53'''}","{'Casemiro':'69''','L. Modrić':'39'''}",,,"{'T. Kroos':'L. Modrić,62''','Á. Morata':'K. Benzema,85'''}",Real Madrid,46,9,6,9,5,6,76.894
CHAMPIONS,1,"{'C. Tolisso':'85'''}","{'R. Ghezzal':'85'''}","{'R. Ghezzal':'90''','S. Darder':'90'''}",,,"{'M. Cornet':'M. Rybus,70''','S. Darder':'N. Fekir,78'''}",Olympique Lyonnais,44,3,4,20,1,1478119500000,2016-11-02,2016/2017,1,,,"{'C. Marchisio':'84''','M. Pjanić':'38''','S. Sturaro':'89''','A. Barzagli':'58'''}",,,"{'M. Benatia':'L. Bonucci,67''','Alex Sandro':'M. Pjanić,68''','J. Cuadrado':'G. Higuaín,83'''}",Juventus,56,2,2,14,2,4,40.356
CHAMPIONS,2,"{'M. Pjaca':'72''','D. Alves':'74'''}","{'Alex Sandro':'74'''}","{'S. Lichtsteiner':'50'''}",,,"{'M. Pjaca':'J. Cuadrado,67''','D. Alves':'S. Lichtsteiner,73''','C. Marchisio':'P. Dybala,86'''}",Juventus,77,4,8,13,0,1487796300000,2017-02-22,2016/2017,0,,,"{'A. Telles':'25''','H. Herrera':'85''','M. Pereira':'45''','I. Marcano':'89'''}",,"{'A. Telles':'27'''}","{'M. Layún':'André Silva,30''','Jesús Corona':'Rúben Neves,61''','Diogo Jota':'Y. Brahimi,73'''}",Porto,23,0,1,12,3,octavos,49.229
CHAMPIONS,3,"{'K. Mbappé':'19'',79'''}","{'T. Lemar':'19'''}","{'Jemerson':'46''','Fabinho':'81''','D. Subašić':'87''','T. Lemar':'58''','N. Dirar':'69'''}",,,"{'N. Dirar':'Bernardo Silva,66''','V. Germain':'R. Falcao,85'''}",Monaco,31,2,1,9,2,1492022700000,2017-04-12,2016/2017,2,"{'O. Dembélé':'57''','S. Kagawa':'84'''}","{'N. Sahin':'84''','S. Kagawa':'57'''}","{'M. Ginter':'40''','Sokratis':'16'''}",,,"{'N. Sahin':'S. Bender,46''','C. Pulisic':'M. Schmelzer,46'''}",B. Dortmund,69,4,7,9,0,cuartos,65.849
CHAMPIONS,1,"{'Bernardo Silva':'87'''}","{'G. Carrillo':'87'''}","{'D. Sidibé':'90''','T. Bakayoko':'38'''}",,,"{'G. Carrillo':'João Moutinho,41''','B. Mendy':'A. Raggi,69''','K. Mbappé':'T. Bakayoko,83'''}",Monaco,60,6,8,14,1,1476823500000,2016-10-18,2016/2017,1,"{'L. Traoré':'34'''}","{'Z. Tošić':'34'''}","{'B. Natcho':'74'''}",,,"{'G. Milanov':'A. Ionov,46''','A. Gordyushenko':'Z. Tošić,75''','C. Strandberg':'L. Traoré,84'''}",CSKA Moskva,40,2,2,14,5,3,24.125
CHAMPIONS,1,"{'K. Volland':'16'''}","{'K. Kampl':'16'''}","{'Chicharito':'72''','K. Kampl':'77''','B. Henrichs':'75'''}",,,"{'K. Havertz':'J. Brandt,70''','J. Baumgartlinger':'Chicharito,81''','A. Mehmedi':'K. Kampl,90'''}",B. Leverkusen,42,5,4,12,4,1479837600000,2016-11-22,2016/2017,1,,,"{'P. Wernbloom':'62''','I. Akinfeev':'37'''}",,,"{'L. Traoré':'A. Dzagoev,83''','C. Strandberg':'F. Chalov,90'''}",CSKA Moskva,58,5,5,14,4,5,19.164
CHAMPION,2,"{'Cristiano Ronaldo':'77',47''}","{'Dani Carvajal':'47'','Marco Asensio':'77''}","{'Dani Carvajal':'45'','Toni Kroos':'44''}",,,"{'Mateo Kovačić':'Luka Modrić,90''+1','James Rodríguez':'Karim Benzema,83''','Marco Asensio':'Gareth Bale,59'''}",Real Madrid,52,12,4,7,3,1492030800000,2017-04-12,2016/2017,1,"{'Arturo Vidal':'25''}","{'Thiago Alcântara':'25''}","{'Javi Martínez':'58'','Arturo Vidal':'90'','Xabi Alonso':'47''}",,"{'Javi Martínez':'61''}","{'Kingsley Coman':'Thomas Müller,81''','Douglas Costa':'Franck Ribéry,66''','Juan Bernat':'Xabi Alonso,64'''}",Bayern München,48,3,8,11,10,Quarter-finals,70.000
CHAMPIONS,0,,,"{'M. Jorgensen':'88'''}",,,"{'R. Falk':'B. Verbič,66''','A. Pavlovic':'Y. Toutouh,86''','J. Gregus':'P. Ankersen,87'''}",Kobenhavn,59,4,7,9,1,1476823500000,2016-10-18,2016/2017,1,"{'R. Mahrez':'40'''}","{'I. Slimani':'40'''}","{'C. Fuchs':'79'''}",,,"{'Okazaki':'J. Vardy,85''','L. Ulloa':'I. Slimani,88''','D. Amartey':'R. Mahrez,90'''}",Leicester,41,2,3,8,4,3,31.037
CHAMPIONS,1,,,"{'E. Dier':'11''','K. Trippier':'85''','M. Dembélé':'21'''}",,,"{'V. Janssen':'Son Heung-Min,65''','C. Eriksen':'M. Dembélé,65''','M. Sissoko':'H. Winks,74'''}",Tottenham Hotspur,63,2,7,14,9,1479847500000,2016-11-22,2016/2017,2,"{'T. Lemar':'53''','D. Sidibé':'48'''}","{'B. Mendy':'48''','D. Sidibé':'53'''}","{'R. Falcao':'57''','K. Glik':'51'''}",,,"{'G. Carrillo':'V. Germain,77''','João Moutinho':'T. Lemar,81''','A. Raggi':'R. Falcao,89'''}",Monaco,37,11,5,11,1,5,13.100
CHAMPIONS,0,,,"{'E. Lamela':'25'''}",,,"{'M. Dembélé':'V. Janssen,64''','M. Sissoko':'E. Lamela,71''','J. Onomah':'Son Heung-Min,90'''}",Tottenham Hotspur,57,1,5,20,6,1476823500000,2016-10-18,2016/2017,0,,,"{'H. Çalhanoğlu':'21''','L. Bender':'40'''}",,,"{'J. Baumgartlinger':'H. Çalhanoğlu,46''','T. Jedvaj':'L. Bender,74''','J. Brandt':'Chicharito,85'''}",B. Leverkusen,43,6,5,15,1,3,29412
CHAMPIONS,0,,,"{'J. Rzeźniczak':'87''','Guilherme':'39'''}",,,"{'M. Aleksandrov':'S. Langil,46''','V. Odjidja-Ofoe':'N. Nikolić,61''','M. Kopczynski':'T. Moulin,86'''}",Legia Warszawa,43,0,3,16,3,1475009100000,2016-09-27,2016/2017,2,"{'B. Dost':'37''','B. Ruiz':'28'''}","{'Adrien Silva':'37'''}",,,,"{'L. Markovic':'B. César,67''','J. Campbell':'G. Martins,76''','R. Petrovic':'B. Ruiz,89'''}",Sporting CP,57,5,8,10,0,2,40.094
