leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'J. Novotný':'32'''}",,,,,"{'P. Černý':'Marek Trval,78''','Rudolf Matta':'M. Frydek,89'''}",Sparta Praha,,,,,,699667200000,1992-03-04,1991/1992,1,,,,,,"{'Antonio Pacheco':'Vasiliy Kulkov,31'''}",Benfica,,,,,,3,50000
CHAMPIONS,1,"{'Giorgios Nemtsoudis':'66'''}",,,,,"{'André Halter':'Steve Guillod,74''','Mario Cantaluppi':'André Wiederkehr,74'''}",Grasshopper,,,,,,685152000000,1991-09-18,1991/1992,1,"{'Degryse':'43'''}",,,,,"{'J. De Sart':'Willem Kooiman,67'''}",Anderlecht,,,,,,cuartos,10000
CHAMPIONS,0,,,"{'Stumpf':''}",,,"{'Bjarne Goldbæk':'S. Kuntz,60''','Jürgen Degen':'Marco Haber,77'''}",Kaiserslautern,,,,,,688176000000,1991-10-23,1991/1992,2,"{'A. Begiristain':'43'',52'''}",,"{'J. Bakero':''}",,,"{'Cristóbal':'Eusebio,63''','Julio Salinas':'H. Stoichkov,70'''}",Barcelona,,,,,,semifinales,65000
CHAMPIONS,0,,,,,,"{'Roland Agalliu':'Gheorghe Ciurea,60''','Adrian Pigulea':'Gheorge Barbu,60'''}",Universitatea Craiova,,,,,,686361600000,1991-10-02,1991/1992,3,"{'Suad Beširevič':'56'',79'''}",,,,,"{'Georgios Iosifidis':'A. Tsolakis,22'''}",Apollon Limassol,,,,,,cuartos,10000
CHAMPIONS,1,"{'César Brito':'28'''}",,,,,"{'Rui Costa':'Jose Carlos,63''','Antonio Pacheco':'Isaías,78'''}",Benfica,,,,,,703296000000,1992-04-15,1991/1992,2,"{'J. Bakero':'24''','H. Stoichkov':'12'''}",,,,,"{'M. Nadal':'G. Amor,72''','Alexanko':'M. Laudrup,82'''}",Barcelona,,,,,,6,115000
CHAMPIONS,0,,,"{'Moreno Mannini':'39''','P. Vierchowod':'68''','Roberto Mancini':'117'''}",,,"{'Giovanni Invernizzi':'Ivano Bonetti,72''','Renato Buso':'G. Vialli,100'''}",Sampdoria,,,,,,706389300000,1992-05-20,1991/1992,1,"{'R. Koeman':'111'''}",,"{'J. Bakero':'74'''}",,,"{'Goikoetxea':'Julio Salinas,64''','Alexanko':'P. Guardiola,113'''}",Barcelona,,,,,,final,70827
CHAMPIONS,2,"{'P. Vrabec':'18''','V. Nemecek':'64'''}",,,,,"{'P. Černý':'L. Mistr,70''','Rudolf Matta':'Vítězslav Lavička,81'''}",Sparta Praha,,,,,,691200000000,1991-11-27,1991/1992,3,"{'J. Bakero':'61''','M. Laudrup':'33''','G. Amor':'15'''}",,,"{'G. Amor':'15'''}",,"{'Juan Carlos':'A. Begiristain,64''','M. Nadal':'Goikoetxea,75'''}",Barcelona,,,,,,1,82000
CHAMPIONS,0,,,,,,"{'S. Valckx':'Jerry De Jong,33''','Twan Scheepers':'Juul Ellerman,55'''}",PSV,,,,,,689385600000,1991-11-06,1991/1992,2,"{'Degryse':'11''','D. Boffin':'87'''}",,,,,"{'J. Bosman':'Luis Oliveira,59''','Alain Van Baekel':'L. Nilis,69'''}",Anderlecht,,,,,,semifinales,28000
CHAMPIONS,0,,,,,,"{'Sergei Volotek':'G. Kvitkauskas,46''','Oleg Matveyev':'V. Sharan,81'''}",Dinamo Kiev,,,,,,702086400000,1992-04-01,1991/1992,5,"{'Isaías':'71''','S. Yuran':'83'',87''','César Brito':'25'',62'''}",,,,,"{'Isaías':'Antonio Pacheco,61''','Rui Costa':'Vítor Paneira,75'''}",Benfica,,,,,,5,10000
CHAMPIONS,2,"{'G. Vialli':'27'',63'''}",,,,,"{'Renato Buso':'Attilio Lombardo,89'''}",Sampdoria,,,,,,699667200000,1992-03-04,1991/1992,3,"{'Degryse':'54''','L. Nilis':'69'',90'''}",,,,,"{'Lamptey':'Luis Oliveira,69''','Alain Van Baekel':'D. Boffin,76'''}",Anderlecht,,,,,,3,20000
CHAMPIONS,1,"{'A. Ogris':'56'''}",,,,,"{'Harald Schneider':'T. Flögel,70''','Ralph Hasenhüttl':'V. Ivanauskas,81'''}",Austria Wien,,,,,,685152000000,1991-09-18,1991/1992,6,"{'Andy Linighan':'38''','Alan Smith':'50'',52'',65'',66''','A. Limpar':'79'''}",,,,,"{'Perry Groves':'A. Limpar,82'''}",Arsenal,,,,,,cuartos,24124
CHAMPIONS,0,,,,,,"{'G. Donis':'G. Athanasiadis,68''','K. Frantzeskos':'G. Donis,87'''}",Panathinaikos,,,,,,691200000000,1991-11-27,1991/1992,0,,,,,,"{'G. Verheyen':'J. Bosman,80'''}",Anderlecht,,,,,,1,24000
CHAMPIONS,0,,,,"{'Yuriy Moroz':'58'''}",,"{'G. Kvitkauskas':'O. Salenko,76''','Sergei Volotek':'O. Luzhniy,81'''}",Dinamo Kiev,,,,,,700876800000,1992-03-18,1991/1992,3,"{'Julio Salinas':'87''','H. Stoichkov':'59'',83'''}",,,,,"{'G. Amor':'J. Bakero,60''','Julio Salinas':'P. Guardiola,73'''}",Barcelona,,,,,,4,70000
CHAMPIONS,0,,,,,,"{'Perry Groves':'Paul Merson,82'''}",Arsenal,,,,,,686361600000,1991-10-02,1991/1992,1,,,,,,,Austria Wien,,,,,,cuartos,11000
CHAMPIONS,0,,,,,,"{'A. Begiristain':'P. Guardiola,66''','Julio Salinas':'H. Stoichkov,80'''}",Barcelona,,,,,,692409600000,1991-12-11,1991/1992,0,,,,,,"{'Antonio Pacheco':'António Veloso,46''','César Brito':'Rui Costa,64'''}",Benfica,,,,,,2,80000
