leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPION,1,,,,,,,Man. Utd,,,,,,1197493200000,2007-12-12,2007/2008,1,,,,,,,Roma,,,,,,6,35.000
CHAMPIONS,1,"{'C. Ronaldo':'62'''}",,"{'E. Van Der Sar':'82''','Nani':'38'''}",,,"{'L. Saha':'W. Rooney,72''','Anderson':'R. Giggs,76''','C. Tévez':'C. Ronaldo,87'''}",Man. Utd,,,,,,1190234700000,2007-09-19,2007/2008,0,,,"{'L. Romagnoli':'16'''}",,,"{'S. Vukcevic':'M. Izmailov,56''','M. Purovic':'L. Romagnoli,68''','B. Pereirinha':'Ronny,74'''}",Sporting CP,,,,,,1,39.514
CHAMPIONS,0,,,"{'S. Perrotta':'73'''}",,,"{'M. Tonetto':'M. Cassetti,57''','L. Giuly':'D. Pizarro,70''','M. Esposito':'R. Taddei,82'''}",Roma,,,,,,1207773900000,2008-04-09,2007/2008,1,"{'C. Tévez':'70'''}",,,,,"{'J. O''shea':'M. Carrick,74''','W. Rooney':'R. Giggs,74''','G. Neville':'Anderson,81'''}",Man. Utd,,,,,,cuartos,74.423
CHAMPIONS,0,,,"{'J. Jones':'45''','Rafinha':'29''','M. Özil':'78'''}",,,"{'C. Grossmüller':'I. Rakitić,65''','Z. Bajramovic':'J. Jones,71''','G. Asamoah':'H. Altintop,80'''}",Schalke 04,,,,,,1196282700000,2007-11-28,2007/2008,0,,,"{'F. Morientes':'29''','D. Villa':'29'''}","{'D. Albelda':'32'''}",,"{'M. Fernandes':'F. Morientes,35''','R. Albiol':'Marco Caneira,43''','D. Silva':'Vicente,72'''}",Valencia,,,,,,5,29.500
CHAMPIONS,2,"{'Steffen Iversen':'31'',58'''}",,,,,"{'O. Storflor':'P. Skjelbred,80''','D. Ya Konan':'M. Sapara,84'''}",Rosenborg BK,,,,,,1194381900000,2007-11-06,2007/2008,0,,,"{'M. Angulo':'72'''}",,,"{'Vicente':'F. Morientes,46''','N. Zigic':'E. Moretti,63''','M. Angulo':'Joaquín,63'''}",Valencia,,,,,,4,50.000
CHAMPIONS,2,"{'R. Van Nistelrooy':'8'',61'''}",,"{'G. Heinze':'63'''}",,,"{'G. Higuaín':'A. Robben,79''','J. Saviola':'Raúl,83''','R. Drenthe':'W. Sneijder,88'''}",Real Madrid,,,,,,1191444300000,2007-10-03,2007/2008,2,"{'G. Pandev':'32'',75'''}",,,,,"{'A. Makinwa':'T. Rocchi,66''','L. Scaloni':'V. Behrami,67''','S. Del Nero':'S. Mauri,79'''}",Lazio,,,,,,2,60.000
CHAMPIONS,1,"{'M. Valbuena':'77'''}",,,,,"{'D. Cissé':'M. Niang,70''','W. Oruma':'M. Valbuena,84''','S. Arrache':'B. Zenden,88'''}",Olympique Marseille,,,,,,1191444300000,2007-10-03,2007/2008,0,,,"{'J. Carragher':'63''','M. Sissoko':'52''','S. Gerrard':'19'''}",,,"{'J. Riise':'S. Leto,52''','A. Voronin':'F. Aurélio,70''','D. Kuyt':'P. Crouch,75'''}",Liverpool,,,,,,2,44.000
CHAMPIONS,0,,,"{'K. Avci':'63''','I. Kas':'50'''}",,,"{'I. Kas':'S. Kurtulus,26''','K. Avci':'Ricardinho,44''','F. Higuaín':'M. Delgado,75'''}",Beşiktaş,,,,,,1190148300000,2007-09-18,2007/2008,2,"{'D. Cissé':'90''','Julien Rodriguez':'76'''}",,"{'S. Nasri':'88''','M. Valbuena':'82''','Julien Rodriguez':'47''','J. Faty':'45''','D. Cissé':'66'''}",,,"{'M. Valbuena':'B. Zenden,76''','V. Gragnic':'M. Niang,86''','M. M''bami':'S. Nasri,88'''}",Olympique Marseille,,,,,,1,47.000
CHAMPIONS,0,,,"{'Paul Hartley':'72''','C. Killen':'55''','A. Mcgeady':'28'''}",,,"{'E. Sno':'M. Donati,63''','S. Mcdonald':'C. Killen,74'''}",Celtic,,,,,,1193258700000,2007-10-24,2007/2008,1,"{'O. Cardozo':'87'''}",,"{'Á. Di María':'90'''}",,,"{'Á. Di María':'Nuno Assis,62''','Freddy Adu':'G. Bergessio,62''','Luís Filipe':'C. Rodríguez,84'''}",Benfica,,,,,,3,38.512
CHAMPIONS,1,"{'T. Taiwo':'65'''}",,"{'A. Ayew':'77''','B. Cheyrou':'44''','B. Zenden':'12''','M. Niang':'63''','D. Cissé':'90'''}",,,"{'D. Cissé':'S. Nasri,26''','T. Taiwo':'R. Zubar,45''','A. Ayew':'B. Zenden,54'''}",Olympique Marseille,,,,,,1196282700000,2007-11-28,2007/2008,2,"{'R. Tello':'27''','Bobô':'88'''}",,"{'I. Akin':'89''','B. Mercimek':'75'''}",,,"{'K. Avci':'E. Cissé,20''','I. Akin':'Ricardinho,66''','Mert Nobre':'S. Özkan,75'''}",Beşiktaş,,,,,,5,19.448
CHAMPIONS,0,,,"{'P. Diakhate':'31''','Corrêa':'37'''}",,,"{'S. Rebrov':'O. Husyev,46''','Diogo Rincón':'R. Rotan,46''','I. Bangoura':'A. Milevskiy,76'''}",Dinamo Kiev,,,,,,1194468300000,2007-11-07,2007/2008,4,"{'G. Piqué':'31''','C. Tévez':'37''','W. Rooney':'76''','C. Ronaldo':'88'''}",,"{'W. Rooney':'17'''}",,,"{'T. Kuszczak':'E. Van Der Sar,46''','L. Saha':'C. Tévez,68''','J. Evans':'G. Piqué,73'''}",Man. Utd,,,,,,4,75.017
CHAMPION,1,,,,,,,Chelsea,,,,,,1211403600000,2008-05-21,2007/2008,1,,,,,,,Man. Utd,,,,,,Final,69.552
CHAMPIONS,1,"{'Jádson':'42'''}",,"{'D. Srna':'79''','N. Castillo':'83''','Fernandinho':'82'''}",,,"{'N. Castillo':'Jádson,77''','I. Duljaj':'Ilsinho,79''','T. Hübschman':'M. Lewandowski,87'''}",Shakhtar Donetsk,,,,,,1191444300000,2007-10-03,2007/2008,0,,,"{'C. Rodríguez':'79''','O. Cardozo':'67''','Kostas Katsouranis':'57'''}",,,"{'Nuno Gomes':'Nelson,45''','G. Binya':'Á. Di María,61'''}",Benfica,,,,,,2,35.000
CHAMPIONS,1,"{'A. Da Silva':'3'''}",,"{'R. Schäfer':'36''','F. Meira':'49'''}",,,"{'R. Hilbert':'A. Farnerud,58''','M. Fischer':'C. Marica,71''','Silvio Meißner':'Y. Bastürk,72'''}",Stuttgart,,,,,,1197492300000,2007-12-12,2007/2008,3,"{'G. Dos Santos':'36''','Ronaldinho':'67''','S. Eto''o':'57'''}",,"{'R. Márquez':'90'''}",,,"{'Bojan':'E. Gudjohnsen,52''','A. Iniesta':'S. Eto''o,62''','M. Crosas':'Xavi,70'''}",Barcelona,,,,,,6,52.761
CHAMPIONS,0,,,"{'A. Pantos':'7'''}",,,"{'F. Belluschi':'C. Ledesma,54''','Leonardo':'P. Djordjevic,57''','M. Sisic':'V. Torosidis,76'''}",Olympiacos Piraeus,,,,,,1204749900000,2008-03-05,2007/2008,3,"{'S. Kalou':'48''','M. Ballack':'5''','F. Lampard':'25'''}",,"{'P. Ferreira':'80''','J. Terry':'83''','F. Lampard':'70'''}",,,"{'F. Malouda':'S. Kalou,71''','M. Essien':'F. Lampard,76''','S. Wright-Phillips':'J. Cole,79'''}",Chelsea,,,,,,octavos,41.841
CHAMPIONS,1,"{'B. Sanogo':'17'''}",,"{'Diego':'90''','J. Vranjes':'72'''}",,,"{'Hugo Almeida':'M. Rosenberg,69'''}",Werder Bremen,,,,,,1190148300000,2007-09-18,2007/2008,2,"{'R. Van Nistelrooy':'74''','Raúl':'16'''}",,"{'R. Van Nistelrooy':'88'''}",,,"{'Robinho':'G. Higuaín,69''','R. Drenthe':'Guti,77''','A. Robben':'Raúl,84'''}",Real Madrid,,,,,,1,63.500
CHAMPIONS,2,"{'C. Fàbregas':'84''','E. Adebayor':'90'''}",,"{'G. Clichy':'73''','A. Hleb':'33''','E. Eboué':'56'''}",,,"{'T. Walcott':'E. Eboué,71''','Gilberto Silva':'A. Hleb,90'''}",Arsenal,,,,,,1204663500000,2008-03-04,2007/2008,0,,,"{'A. Pirlo':'85''','F. Inzaghi':'55''','Kaká':'80'''}",,,"{'A. Gilardino':'F. Inzaghi,69'''}",Milan,,,,,,octavos,81.879
CHAMPION,1,,,,,,,Liverpool,,,,,,1207170000000,2008-04-02,2007/2008,1,,,,,,,Arsenal,,,,,,Quarter-finals,60.041
CHAMPIONS,2,"{'Alex':'9''','Deivid':'85'''}",,"{'Edu Dracena':'52''','D. Lugano':'65'''}",,,"{'C. Kâzım-Richards':'D. Barış,72''','Y. Cakmak':'Edu Dracena,72''','G. Gönül':'D. Lugano,77'''}",Fenerbahçe,,,,,,1191349800000,2007-10-02,2007/2008,2,"{'M. Krasic':'50'''}",,"{'Y. Zhirkov':'78''','M. Krasic':'66'''}",,,"{'E. Aldonin':'Dudu Cearense,90'''}",CSKA Moskva,,,,,,2,28.000
CHAMPIONS,0,,,"{'S. Brown':'17'''}",,,"{'A. Mcgeady':'S. Nakamura,65''','C. Killen':'S. Mcdonald,68''','M. Zurawski':'J. Hesselink,85'''}",Celtic,,,,,,1190148300000,2007-09-18,2007/2008,2,"{'C. Lucarelli':'8''','Brandão':'6'''}",,"{'D. Srna':'30'''}",,,"{'N. Castillo':'Jádson,65''','O. Gladky':'C. Lucarelli,70''','I. Duljaj':'Fernandinho,86'''}",Shakhtar Donetsk,,,,,,1,26.100
CHAMPIONS,1,"{'R. Van Persie':'76'''}",,"{'E. Adebayor':'15'''}",,,"{'Gilberto Silva':'E. Eboué,73'''}",Arsenal,,,,,,1191357900000,2007-10-02,2007/2008,0,,,"{'I. Rada':'32''','Petre Marin':'18'''}",,,"{'Iacob':'Badea,60''','D. Zaharia':'A. Neaga,77''','V. Badoi':'R. Surdu,84'''}",FCSB,,,,,,2,16.000
CHAMPIONS,0,,,"{'L. Volesak':'71'''}",,,"{'T. Jablonsky':'D. Kalivoda,46''','L. Volesak':'M. Ivana,56''','Tijani Belaid':'M. Tavares,63'''}",Slavia Praha,,,,,,1193172300000,2007-10-23,2007/2008,7,"{'A. Hleb':'51''','C. Fàbregas':'5'',58''','N. Bendtner':'89''','T. Walcott':'41'',55'''}",,"{'M. Flamini':'11''','G. Clichy':'52''','A. Hleb':'59'''}",,,"{'Gilberto Silva':'A. Hleb,63''','N. Bendtner':'M. Flamini,63''','T. Rosický':'E. Adebayor,63'''}",Arsenal,,,,,,3,59.621
CHAMPIONS,1,,,"{'C. Erkin':'37''','Y. Zhirkov':'90''','D. Šemberas':'41'''}",,,"{'C. Odiah':'C. Erkin,46''','P. Mamaev':'Ramón,46''','I. Taranov':'Eduardo Ratinho,77'''}",CSKA Moskva,,,,,,1197492300000,2007-12-12,2007/2008,3,"{'Alex':'32''','U. Boral':'45'',90'''}",,"{'G. Gönül':'40'''}",,,"{'C. Kâzım-Richards':'S. Sentürk,70''','M. Kezman':'U. Boral,90''','Wederson':'Roberto Carlos,90'''}",Fenerbahçe,,,,,,6,55.250
