leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,2,"{'P. Kaderabek':'92''','A. Kramarić':'65'''}","{'E. Bičakčić':'65''','Joelinton':'92'''}","{'E. Bičakčić':'48''','K. Nuhu':'18''','F. Grillitsch':'43''','Joelinton':'72''','K. Vogt':'72'''}",,"{'K. Nuhu':'51'''}","{'R. Nelson':'F. Grillitsch,57''','Á. Szalai':'I. Belfodil,67''','H. Nordtveit':'K. Demirbay,79'''}",Hoffenheim,49,6,9,15,9,1541624400000,2018-11-07,2018/2019,2,"{'T. Ndombele':'28''','N. Fekir':'19'''}","{'F. Mendy':'28'''}","{'J. Denayer':'6''','J. Morel':'90'''}",,,"{'M. Dembélé':'N. Fekir,74''','B. Traoré':'M. Depay,87''','P. Cheikh':'T. Ndombele,88'''}",Olympique Lyonnais,51,11,6,7,4,4,53.850
CHAMPIONS,1,"{'Lucas Moura':'85'''}","{'H. Kane':'85'''}","{'K. Walker-Peters':'15'''}",,,"{'E. Lamela':'K. Walker-Peters,61''','Lucas Moura':'Son Heung-Min,71''','F. Llorente':'H. Winks,83'''}",Tottenham Hotspur,52,7,5,19,2,1544562000000,2018-12-11,2018/2019,1,"{'O. Dembélé':'7'''}",,"{'N. Semedo':'68'''}",,,"{'S. Busquets':'I. Rakitić,46''','L. Messi':'Munir,63''','D. Suárez':'O. Dembélé,76'''}",Barcelona,48,3,2,9,6,6,69.961
CHAMPIONS,3,"{'V. Van Dijk':'69''','S. Mané':'26'',84'''}","{'V. Van Dijk':'26''','J. Milner':'69''','M. Salah':'84'''}","{'A. Robertson':'92''','J. Matip':'63''','Fabinho':'43'''}",,,"{'Fabinho':'J. Henderson,13''','D. Origi':'R. Firmino,83''','A. Lallana':'J. Milner,87'''}",Liverpool,43,6,7,14,2,1552510800000,2019-03-13,2018/2019,1,,,"{'Renato Sanches':'83''','Thiago':'65'''}",,,"{'K. Coman':'F. Ribéry,62''','L. Goretzka':'J. Martínez,72''','Renato Sanches':'James,79'''}",Bayern München,57,2,2,7,3,octavos,75.000
CHAMPIONS,0,,,"{'N. Krsticic':'55''','D. Jovancic':'86''','F. Stojkovic':'50''','M. Gobeljić':'88''','B. Jovičić':'74'''}",,,"{'D. Jovancic':'L. Ebecilio,64''','G. Čaušić':'B. Jovičić,75''','V. Simic':'El Fardou Ben,81'''}",Crvena Zvezda,35,0,1,20,7,1540414800000,2018-10-24,2018/2019,4,"{'R. Firmino':'20''','M. Salah':'45''','S. Mané':'80'''}","{'A. Robertson':'20''','X. Shaqiri':'45''','D. Sturridge':'80'''}",,,,"{'A. Lallana':'X. Shaqiri,69''','D. Sturridge':'M. Salah,73''','Alberto Moreno':'A. Robertson,82'''}",Liverpool,65,11,4,10,0,3,54.074
CHAMPIONS,3,"{'A. Laporte':'35''','D. Silva':'30''','Bernardo Silva':'70'''}","{'R. Mahrez':'70''','K. De Bruyne':'35'''}","{'N. Otamendi':'94'''}",,,"{'Bernardo Silva':'K. De Bruyne,69''','K. Walker':'J. Stones,80''','P. Foden':'Gabriel Jesus,89'''}",Man. City,53,6,5,15,2,1540328400000,2018-10-23,2018/2019,0,,,"{'S. Kryvtsov':'87'''}",,,"{'Alan Patrick':'V. Kovalenko,62''','S. Bolbat':'Wellington Nem,69''','Dentinho':'Fernando,84'''}",Shakhtar Donetsk,47,2,5,5,2,3,37106
CHAMPIONS,3,"{'A. Martial':'66''','P. Pogba':'35'''}","{'Fred':'35''','P. Pogba':'66'''}","{'Fred':'49'''}",,,"{'J. Mata':'M. Rashford,69''','M. Fellaini':'Fred,69''','A. Pereira':'P. Pogba,75'''}",Man. Utd,57,5,7,8,4,1537390800000,2018-09-19,2018/2019,0,,,"{'R. Assalé':'82'''}",,,"{'M. Aebischer':'D. Sow,59''','M. Ngamaleu':'C. Fassnacht,65''','J. Nsame':'G. Hoarau,75'''}",Young Boys,43,4,9,12,2,1,31.120
CHAMPIONS,3,"{'A. Semedo':'75''','A. Grimaldo':'15''','H. Seferović':'6'''}","{'Pizzi':'15'''}","{'A. Almeida':'79''','Rúben Dias':'8''','A. Grimaldo':'90'''}",,"{'Rúben Dias':'45'''}","{'C. Lema':'E. Salvio,46''','A. Semedo':'Pizzi,62''','F. Cervi':'Rafa Silva,84'''}",Benfica,36,6,4,9,4,1538514000000,2018-10-02,2018/2019,2,"{'V. Klonaridis':'53'',65'''}","{'M. Oikonomou':'65''','N. Hult':'53'''}","{'E. Ponce':'34''','A. Bakasetas':'40'''}",,,"{'G. Giakoumakis':'E. Ponce,60''','U. Cosic':'M. Oikonomou,68''','R. Galo':'André Simões,80'''}",AEK Athens,64,7,8,13,3,2,31.154
CHAMPIONS,1,"{'R. Assalé':'37'''}","{'C. Fassnacht':'37'''}","{'S. Von Bergen':'68''','K. Mbabu':'35''','L. Benito':'38''','M. Ngamaleu':'18''','S. Lauper':'57'''}","{'S. Sanogo':'77'''}",,"{'M. Sulejmani':'M. Ngamaleu,46''','J. Nsame':'C. Fassnacht,60''','M. Aebischer':'G. Hoarau,75'''}",Young Boys,46,2,5,25,2,1541616900000,2018-11-07,2018/2019,3,"{'C. Soler':'56''','Santi Mina':'14'',42'''}","{'Rodrigo':'56''','C. Soler':'42'''}","{'C. Soler':'81''','J. Gayà':'30''','Santi Mina':'22'''}",,,"{'K. Gameiro':'Santi Mina,68''','Ferran Torres':'G. Guedes,75''','R. Vezo':'G. Kondogbia,87'''}",Valencia,54,5,2,14,1,4,36480
CHAMPIONS,0,,,"{'M. Aly Camara':'48''','L. Benito':'61'''}",,,"{'U. Garcia':'S. Von Bergen,46''','C. Fassnacht':'M. Sulejmani,66''','M. Ngamaleu':'J. Nsame,82'''}",Young Boys,35,1,4,19,4,1543352400000,2018-11-27,2018/2019,1,"{'M. Fellaini':'92'''}","{'R. Lukaku':'92'''}","{'N. Matic':'22''','A. Valencia':'72'''}",,,"{'P. Pogba':'Fred,64''','R. Lukaku':'J. Lingard,64''','J. Mata':'A. Valencia,72'''}",Man. Utd,65,4,2,13,1,5,72.876
CHAMPIONS,0,,,"{'N. Viergever':'30''','L. De Jong':'57'''}",,,"{'N. Isimat-Mirin':'N. Viergever,66''','D. Malen':'S. Bergwijn,78''','E. Gutiérrez':'P. Rosario,82'''}",PSV,26,1,1,12,5,1537296900000,2018-09-18,2018/2019,4,"{'O. Dembélé':'74''','L. Messi':'32'',77'',87'''}","{'I. Rakitić':'77''','L. Suárez':'87'''}","{'S. Umtiti':'55'''}",,"{'S. Umtiti':'79'''}","{'C. Lenglet':'P. Coutinho,81''','Arthur':'O. Dembélé,83''','A. Vidal':'I. Rakitić,85'''}",Barcelona,74,9,8,10,1,1,73462
CHAMPIONS,0,,,"{'L. Hejda':'51'''}",,,"{'D. Kolář':'T. Hořava,64''','Ubong Ekpai':'M. Zeman,71''','J. Reznicek':'M. Krmencik,78'''}",Viktoria Plzeň,35,1,1,7,8,1538514000000,2018-10-02,2018/2019,5,"{'E. Džeko':'3'',40'',90''','J. Kluivert':'73''','C. Under':'64'''}","{'A. Kolarov':'3''','Lorenzo Pellegrini':'64''','A. Florenzi':'90''','C. Under':'40'''}","{'P. Schick':'88'''}",,,"{'P. Schick':'A. Kolarov,74''','Luca Pellegrini':'Lorenzo Pellegrini,74''','N. Zaniolo':'C. Under,74'''}",Roma,65,13,11,12,1,2,41243
CHAMPIONS,2,"{'M. Icardi':'60''','R. Nainggolan':'44'''}","{'M. Vecino':'60'''}","{'K. Asamoah':'86''','S. Handanovič':'41''','D. D''Ambrosio':'45'''}",,,"{'Borja Valero':'R. Nainggolan,86''','A. Candreva':'M. Politano,91'''}",Inter,59,8,6,12,3,1538600400000,2018-10-03,2018/2019,1,"{'P. Rosario':'27'''}","{'H. Lozano':'27'''}",,,,"{'D. Malen':'G. Pereiro,75'''}",PSV,41,4,5,12,6,2,34.750
CHAMPIONS,3,"{'Lucas Moura':'55'',59'',96'''}","{'D. Alli':'55'',96'''}","{'Danny Rose':'76''','M. Sissoko':'16'''}",,,"{'F. Llorente':'V. Wanyama,46''','E. Lamela':'K. Trippier,81''','B. Davies':'Danny Rose,82'''}",Tottenham Hotspur,60,7,9,12,2,1557349200000,2019-05-08,2018/2019,2,"{'H. Ziyech':'35''','M. De Ligt':'5'''}","{'L. Schöne':'5''','D. Tadić':'35'''}","{'A. Onana':'95''','H. Ziyech':'77''','K. Dolberg':'50'''}",,,"{'J. Veltman':'L. Schöne,60''','D. Sinkgraven':'K. Dolberg,67''','L. Magallán':'D. Van De Beek,90'''}",Ajax,40,4,6,13,4,semifinales,52.641
CHAMPIONS,0,,,"{'Borja Valero':'81''','S. De Vrij':'70'''}",,,"{'Borja Valero':'R. Nainggolan,44''','J. Miranda':'S. De Vrij,82''','K. Baldé':'M. Politano,83'''}",Inter,49,2,6,12,4,1543438800000,2018-11-28,2018/2019,1,"{'C. Eriksen':'80'''}","{'D. Alli':'80'''}","{'T. Alderweireld':'28''','Son Heung-Min':'73''','E. Lamela':'45'''}",,,"{'Son Heung-Min':'Lucas Moura,62''','C. Eriksen':'E. Lamela,70''','E. Dier':'H. Winks,87'''}",Tottenham Hotspur,51,5,9,17,2,5,57.132
CHAMPIONS,0,,,"{'André Simões':'64''','U. Cosic':'30''','V. Lampropoulos':'67'''}",,,"{'E. Morán':'Alef,67''','L. Boyé':'P. Mantalos,79''','R. Galo':'K. Galanopoulos,79'''}",AEK Athens,39,0,1,14,6,1541624400000,2018-11-07,2018/2019,2,"{'R. Lewandowski':'71'''}",,,,,"{'Rafinha':'F. Ribéry,84''','Renato Sanches':'S. Gnabry,87''','S. Wagner':'R. Lewandowski,91'''}",Bayern München,61,8,11,13,1,4,70.000
CHAMPIONS,1,,,"{'O. Mascarell':'28''','S. Rudy':'86'''}",,,"{'A. Harit':'S. Skrzybski,46''','A. Schöpf':'D. Caligiuri,62''','S. Rudy':'B. Stambouli,72'''}",Schalke 04,40,2,1,16,3,1543438800000,2018-11-28,2018/2019,3,"{'Éder Militão':'52''','M. Marega':'90''','Jesús Corona':'55'''}","{'Ó. Torres':'52''','Otávio':'90''','Y. Brahimi':'55'''}","{'Jesús Corona':'78'''}",,,"{'Adrián':'Y. Brahimi,74''','Otávio':'Jesús Corona,79''','Hernâni':'H. Herrera,85'''}",Porto,60,6,5,11,1,5,41.603
CHAMPIONS,0,,,"{'D. Godín':'57''','Saúl':'48''','F. Montero':'20'''}",,,"{'Á. Correa':'T. Lemar,60''','Vitolo':'G. Martins,60''','N. Kalinić':'Thomas,69'''}",Atlético,57,3,8,8,2,1544562000000,2018-12-11,2018/2019,0,,,"{'S. Amrabat':'76''','S. Denswil':'57'''}",,,"{'Luan Peres':'C. Ngonge,69''','S. Schrijvers':'L. Openda,74''','M. Rits':'H. Vanaken,90'''}",Club Brugge,43,2,2,13,3,6,25.645
CHAMPIONS,1,"{'M. Marin':'74'''}","{'L. Ebecilio':'74'''}","{'F. Stojkovic':'68''','M. Pavkov':'75'''}",,,"{'S. Babić':'V. Savić,46''','M. Pavkov':'V. Simic,46''','L. Ebecilio':'El Fardou Ben,73'''}",Crvena Zvezda,26,3,0,16,11,1538592900000,2018-10-03,2018/2019,6,"{'K. Mbappé':'70''','E. Cavani':'37''','Á. Di María':'41''','Neymar':'20'',22'',81'''}","{'J. Bernat':'70''','K. Mbappé':'22''','T. Meunier':'41'''}",,,,"{'M. Choupo-Moting':'K. Mbappé,76''','T. Kehrer':'Thiago Silva,76''','J. Draxler':'Neymar,82'''}",PSG,74,17,13,10,2,2,39.979
CHAMPIONS,0,,,"{'J. Sancho':'31''','M. Akanji':'91''','M. Reus':'93'''}",,,"{'R. Guerreiro':'C. Pulisic,59''','M. Götze':'P. Alcácer,75''','Bruun Larsen':'J. Sancho,79'''}",B. Dortmund,69,0,4,7,6,1541538000000,2018-11-06,2018/2019,2,"{'Saúl':'33''','A. Griezmann':'80'''}","{'Thomas':'80''','Filipe Luis':'33'''}","{'Á. Correa':'6'''}",,,"{'F. Montero':'J. Giménez,46''','G. Martins':'N. Kalinić,62''','Vitolo':'Á. Correa,82'''}",Atlético,31,7,7,8,0,4,61.023
CHAMPIONS,2,"{'Júnior Moraes':'45'',56'''}","{'Ismaily':'45''','Alan Patrick':'56'''}",,,,"{'V. Kovalenko':'Alan Patrick,75''','O. Kayode':'Júnior Moraes,83''','Fernando':'Marlos,90'''}",Shakhtar Donetsk,50,7,4,16,5,1538514000000,2018-10-02,2018/2019,2,"{'L. Dubois':'72''','M. Dembélé':'71'''}","{'H. Aouar':'72''','N. Fekir':'71'''}","{'N. Fekir':'47'''}",,,"{'M. Depay':'B. Traoré,63''','M. Cornet':'M. Dembélé,82''','P. Cheikh':'T. Ndombele,87'''}",Olympique Lyonnais,50,7,3,11,5,2,
CHAMPIONS,1,"{'M. Batshuayi':'26'''}","{'C. Soler':'26'''}","{'C. Soler':'77''','Gabriel Paulista':'8'''}",,,"{'K. Gameiro':'Ferran Torres,67''','F. Coquelin':'G. Kondogbia,70'''}",Valencia,55,2,1,18,6,1540320900000,2018-10-23,2018/2019,1,,,"{'K. Mbabu':'42'''}",,,"{'M. Ngamaleu':'M. Sulejmani,74''','J. Nsame':'G. Hoarau,79''','L. Bertone':'C. Fassnacht,85'''}",Young Boys,45,7,6,19,1,3,31.120
CHAMPIONS,0,,,,,,"{'Á. Odriozola':'D. Carvajal,43''','Mariano':'Lucas Vázquez,58''','L. Modrić':'Casemiro,58'''}",Real Madrid,73,4,6,6,2,1538514000000,2018-10-02,2018/2019,1,"{'N. Vlasic':'2'''}",,"{'I. Oblyakov':'93''','I. Akinfeev':'95''','J. Bijol':'66'''}",,"{'I. Akinfeev':'95'''}","{'D. Efremov':'A. Dzagoev,65''','A. Sigurðsson':'F. Chalov,78''','G. Kyrnats':'I. Oblyakov,97'''}",CSKA Moskva,27,3,4,13,4,2,71.811
CHAMPIONS,3,"{'R. Sterling':'90''','S. Agüero':'18''','L. Sané':'85'''}","{'Ederson':'90''','D. Silva':'18'''}","{'Ederson':'95''','N. Otamendi':'36''','Fernandinho':'43'''}",,"{'N. Otamendi':'68'''}","{'V. Kompany':'D. Silva,70''','L. Sané':'S. Agüero,78''','O. Zinchenko':'K. De Bruyne,87'''}",Man. City,67,6,9,9,0,1550696400000,2019-02-20,2018/2019,2,,,"{'G. Burgstaller':'95''','S. Sane':'73''','M. Uth':'41'''}",,,"{'G. Burgstaller':'H. Mendyl,65''','S. Skrzybski':'W. Mckennie,78''','A. Harit':'M. Uth,88'''}",Schalke 04,33,2,2,11,3,octavos,54417
CHAMPIONS,2,,,"{'D. Rugani':'96''','Alex Sandro':'59''','W. Szczęsny':'82'''}","{'C. Ronaldo':'29'''}",,"{'E. Can':'S. Khedira,23''','D. Costa':'M. Pjanić,66''','D. Rugani':'D. Costa,89'''}",Juventus,46,6,2,10,6,1537390800000,2018-09-19,2018/2019,0,,,"{'D. Parejo':'43''','J. Murillo':'49''','R. Vezo':'54'''}",,,"{'D. Cheryshev':'R. Vezo,57''','Santi Mina':'G. Guedes,70''','K. Gameiro':'M. Batshuayi,70'''}",Valencia,54,6,10,14,3,1,46.067
CHAMPIONS,4,"{'R. Vormer':'85''','Wesley Moraes':'24''','H. Vanaken':'12'''}","{'M. Rits':'12'''}",,,,"{'D. Cools':'K. Diatta,6''','K. Rezaei':'Wesley Moraes,72''','T. Vlietinck':'Clinton Mata,77'''}",Club Brugge,36,6,1,13,6,1541530500000,2018-11-06,2018/2019,0,,,"{'A. Barreca':'15'''}",,,"{'Gobe Gouano':'R. Falcao,61''','H. Massengo':'Y. Ait Bennasser,68''','A. Touré':'K. Glik,76'''}",Monaco,64,6,6,16,2,4,8.347
CHAMPIONS,0,,,"{'I. Denisov':'88''','B. Idowu':'60''','V. Ćorluka':'24''','Guilherme':'90'''}",,,"{'Éder':'V. Ignatjev,69''','Anton Miranchuk':'Aleksey Miranchuk,86'''}",Lokomotiv Moskva,56,3,6,16,5,1537304400000,2018-09-18,2018/2019,3,"{'E. Derdiyok':'67''','Garry Rodrigues':'9'''}",,"{'Fernando':'72''','Badou N''diaye':'42'''}",,"{'Badou N''diaye':'87'''}","{'Maicon':'Y. Belhanda,73''','H. Onyekuru':'E. Derdiyok,82''','S. Inan':'Garry Rodrigues,90'''}",Galatasaray SK,44,8,7,12,2,1,43.542
CHAMPIONS,2,"{'K. Mbappé':'83''','T. Meunier':'40'''}","{'Neymar':'83'''}","{'T. Meunier':'45'''}",,,"{'M. Choupo-Moting':'Á. Di María,80''','J. Draxler':'E. Cavani,80'''}",PSG,48,5,1,10,4,1537304400000,2018-09-18,2018/2019,3,"{'R. Firmino':'91''','D. Sturridge':'30'''}","{'A. Robertson':'30''','V. Van Dijk':'91'''}","{'V. Van Dijk':'27'''}",,,"{'R. Firmino':'D. Sturridge,71''','X. Shaqiri':'M. Salah,85''','Fabinho':'S. Mané,93'''}",Liverpool,52,7,13,14,3,1,52.478
CHAMPIONS,2,"{'H. Kane':'54''','Lucas Moura':'39'''}","{'K. Trippier':'39''','C. Eriksen':'54'''}","{'M. Dembélé':'20'''}","{'H. Lloris':'79'''}",,"{'E. Lamela':'Lucas Moura,64''','H. Winks':'M. Dembélé,74''','M. Vorm':'Son Heung-Min,81'''}",Tottenham Hotspur,71,9,6,15,1,1540407300000,2018-10-24,2018/2019,2,"{'L. De Jong':'87''','H. Lozano':'29'''}","{'P. Rosario':'87'''}","{'P. Rosario':'95''','D. Dumfries':'91''','Angeliño':'59'''}",,,"{'C. Gakpo':'G. Pereiro,83'''}",PSV,29,3,1,10,7,3,35.000
CHAMPIONS,1,"{'C. Eriksen':'53'''}",,"{'M. Vorm':'82''','J. Vertonghen':'51''','D. Sanchez':'38'''}",,,"{'Lucas Moura':'Son Heung-Min,64''','H. Winks':'E. Lamela,72''','Danny Rose':'H. Kane,89'''}",Tottenham Hotspur,54,6,4,15,2,1537296900000,2018-09-18,2018/2019,2,"{'M. Icardi':'86''','M. Vecino':'92'''}","{'K. Asamoah':'86''','S. De Vrij':'92'''}","{'M. Škriniar':'21''','I. Perišić':'43'''}",,,"{'A. Candreva':'I. Perišić,65''','K. Baldé':'M. Politano,72''','Borja Valero':'R. Nainggolan,89'''}",Inter,46,4,8,11,5,1,64.123
CHAMPIONS,1,"{'N. Fekir':'65'''}","{'M. Depay':'65'''}","{'F. Marçal':'8''','N. Fekir':'68'''}",,,"{'T. Ndombele':'B. Traoré,72''','M. Dembélé':'M. Depay,80''','L. Dubois':'N. Fekir,88'''}",Olympique Lyonnais,47,6,5,12,1,1544648400000,2018-12-12,2018/2019,1,"{'Júnior Moraes':'22'''}","{'Ismaily':'22'''}","{'S. Bolbat':'87'''}",,,"{'B. Butko':'D. Khocholava,46''','O. Kayode':'V. Kovalenko,83''','S. Bolbat':'Marlos,87'''}",Shakhtar Donetsk,53,2,4,8,5,6,38.916
CHAMPIONS,0,,,"{'R. Donk':'31''','Maicon':'90''','S. Aziz':'44''','M. Linnes':'54'''}",,,"{'S. Inan':'R. Donk,68''','S. Feghouli':'Y. Belhanda,74''','Y. Akgun':'Fernando,86'''}",Galatasaray SK,44,3,5,20,4,1538600400000,2018-10-03,2018/2019,1,"{'M. Marega':'49'''}","{'A. Telles':'49'''}","{'Éder Militão':'42''','Otávio':'58''','D. Pereira':'60'''}",,,"{'Ó. Torres':'Jesús Corona,69''','A. Pereira':'Otávio,80''','Sergio Oliveira':'H. Herrera,89'''}",Porto,56,5,6,19,3,2,42.711
