leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,0,,,"{'O. Bierhoff':'','Thomas Helveg':''}",,,"{'F. Giunti':'Leonardo,82'''}",Milan,,,,,,937353600000,1999-09-15,1999/2000,0,,,,,,"{'J. Hogh':'G. Poyet,79''','Graeme Le Saux':'F. Leboeuf,79''','Chris Sutton':'T. Flo,84'''}",Chelsea,,,,,,1,33873
CHAMPIONS,0,,,,,,"{'M. Pantelić':'H. Reinmayr,46''','G. Korsos':'Jan-Pieter Martens,46''','Giorgios Koutsoupias':'G. Neukirchner,82'''}",Sturm Graz,,,,,,937267200000,1999-09-14,1999/2000,2,"{'Fabrizio Ravanelli':'33''','Robert Pirès':'9'''}",,,,,"{'Djamel Belmadi':'S. Dalmat,76''','Kaba Diawara':'Florian Maurice,82''','S. Keita':'Fabrizio Ravanelli,88'''}",Olympique Marseille,,,,,,1,25000
CHAMPIONS,1,"{'F. Bobic':'71'''}",,"{'J. Lehmann':'','Dedé':'','Evanilson':''}",,,"{'W. Feiersinger':'M. Stevic,66''','S. Barbarez':'Nijhuis,77''','Heiko Herrlich':'F. Bobic,90'''}",B. Dortmund,,,,,,937267200000,1999-09-14,1999/2000,1,"{'K. Van Wonderen':'67'''}",,"{'J. Cruz':'','Jan De Visser':''}",,,"{'Jan De Visser':'T. Rzasa,46''','Radoslav Samardžić':'P. Van Vossen,82'''}",Feyenoord,,,,,,1,45000
CHAMPIONS,1,"{'P. Van Vossen':'72'''}",,"{'U. Van Gobbel':'76''','P. Van Vossen':'66''','P. Bosvelt':'43'''}",,,"{'P. Van Vossen':'P. Paauwe,58''','E. Cairo':'Somalia,58''','Í. Kornéyev':'U. Van Gobbel,78'''}",Feyenoord,,,,,,940982400000,1999-10-27,1999/2000,1,"{'Otto Addo':'45'''}",,,,,"{'S. Barbarez':'F. Bobic,74'''}",B. Dortmund,,,,,,5,39000
CHAMPIONS,1,"{'D. Hestad':'82'''}",,,,,"{'Lindbaek':'J. Tessem,61''','O. Sundgot':'O. Olsen,84''','Thomas Mork':'M. Hoseth,86'''}",Molde FK,,,,,,940896000000,1999-10-26,1999/2000,3,"{'Jardel':'58''','Deco':'1'',28'''}",,,,,"{'Alessandro Cambalhota':'Deco,29''','Sousa':'Chaínho,69''','D. Paciencia':'Jardel,76'''}",Porto,,,,,,5,26100
CHAMPIONS,2,"{'D. Mavrogenidis':'36''','Z. Zahovic':'40'''}",,"{'Petros Passalis':''}",,,"{'Peter Ofori-Quaye':'V. Karapialis,46''','P. Antzas':'K. Karataidis,58''','S. Giannakopoulos':'Petros Passalis,67'''}",Olympiacos Piraeus,,,,,,940377600000,1999-10-20,1999/2000,3,"{'D. Hestad':'72''','Lund':'54'',59'''}",,,,,"{'Thomas Mork':'M. Hoseth,89'''}",Molde FK,,,,,,4,10230
CHAMPIONS,0,,,"{'Albertz':'','G. Van Bronckhorst':'','Lorenzo Amoruso':''}",,,"{'J. Johansson':'Michael Mols,30''','N. Mccann':'A. Numan,72''','Amato':'Rodney Wallace,80'''}",Rangers FC,,,,,,941587200000,1999-11-03,1999/2000,1,,,"{'G. Élber':'','L. Matthäus':'','M. Babbel':'','T. Strunz':''}",,,"{'Paulo Sérgio':'M. Scholl,66''','H. Salihamidzic':'R. Santa Cruz,66''','M. Tarnat':'S. Effenberg,74'''}",Bayern München,,,,,,6,54000
CHAMPIONS,0,,,"{'Yannick Fischer':'','C. Pouget':''}",,,"{'Yannick Fischer':'Sébastien Pérez,38''','I. De La Peña':'Jean-Pierre Cyprien,66'''}",Olympique Marseille,,,,,,952473600000,2000-03-08,1999/2000,1,"{'D. Wise':'27'''}",,"{'Didier Deschamps':'','F. Leboeuf':''}",,,"{'J. Harley':'G. Zola,79''','Roberto Di Matteo':'Didier Deschamps,79'''}",Chelsea,,,,,,4,33206
CHAMPIONS,0,,,"{'S. Cañizares':'67''','Kily González':'8'''}",,,"{'D. Albelda':'Mendieta,60''','Òscar':'M. Angulo,82'''}",Valencia,,,,,,956016000000,2000-04-18,1999/2000,1,"{'J. Verón':'52'''}",,"{'G. Pancaro':'44'''}",,,"{'S. Inzaghi':'P. Nedved,46''','Roberto Mancini':'G. Pancaro,76''','D. Simeone':'M. Almeyda,84'''}",Lazio,,,,,,cuartos,53135
CHAMPIONS,0,,,"{'K. Jaliens':'','Kris Mampaey':'','Delano Hill':''}",,,"{'Bombarda':'Marco Gentile,46'''}",Willem II,,,,,,938476800000,1999-09-28,1999/2000,4,"{'J. Novotný':'26''','T. Rosický':'41''','J. Jarosik':'59'''}",,"{'M. Fukal':'','Baranek':''}",,,"{'J. Jarosik':'M. Prohaszka,37''','J. Obajdin':'Baranek,82''','H. Siegl':'L. Sionko,84'''}",Sparta Praha,,,,,,3,10581
CHAMPIONS,2,"{'Abdellaoui':'39''','Ousmane Sanou':'69'''}",,"{'K. Jaliens':''}",,,"{'Ousmane Sanou':'Abdellaoui,58''','Mark Schenning':'Bombarda,74'''}",Willem II,,,,,,937872000000,1999-09-21,1999/2000,3,"{'Lilian Laslandes':'22''','P. Feindouno':'82'''}",,"{'L. Batlles':'','N. Saveljic':''}",,,"{'L. Batlles':'Corentin Martins,63''','P. Feindouno':'S. Wiltord,73'''}",Girondins Bordeaux,,,,,,2,13231
CHAMPIONS,0,,,"{'Roy':'','K. Konstantinidis':'','Alves':''}",,,"{'Veit':'Kai Michalke,21''','Preetz':'Roy,79''','Sanneh':'K. Rekdal,90'''}",Hertha BSC,,,,,,952387200000,2000-03-07,1999/2000,1,"{'M. Fukal':'90'''}",,"{'Pavel Hapal':''}",,,"{'H. Siegl':'Pavel Hapal,65''','Z. Svoboda':'L. Sionko,74'''}",Sparta Praha,,,,,,4,9101
CHAMPIONS,1,,,,,,"{'C. Seedorf':'Nicolas Anelka,47''','Guti':'Gérémi,66'''}",Real Madrid,,,,,,940377600000,1999-10-20,1999/2000,2,"{'Jardel':'13'',35'''}",,"{'Jorge Costa':''}",,,"{'L. Drulović':'Rubens Junior,36''','Paulinho Santos':'Capucho,72''','Aloisio':'Argel,74'''}",Porto,,,,,,4,36550
CHAMPIONS,1,"{'Clayton':'69'''}",,,,,"{'Clayton':'L. Drulović,67''','Alessandro Cambalhota':'Capucho,76''','Emílio Peixe':'Deco,90'''}",Porto,,,,,,953596800000,2000-03-21,1999/2000,0,,,,,,"{'K. Konstantinidis':'S. Deisler,46''','P. Dardai':'D. Van Burik,46''','Aracic':'Alves,57'''}",Hertha BSC,,,,,,6,30506
CHAMPIONS,0,,,"{'Luciano':'','Giovanni':''}",,,"{'S. Gogić':'Kofi Amponsah,58''','Luciano':'Z. Zahovic,74''','A. Alexandris':'P. Djordjevic,89'''}",Olympiacos Piraeus,,,,,,937872000000,1999-09-21,1999/2000,2,"{'Jardel':'47''','Esquerdinha':'5'''}",,"{'Emílio Peixe':''}",,,"{'Alessandro Cambalhota':'Capucho,61''','Rui Barros':'Chaínho,75''','Aloisio':'Deco,89'''}",Porto,,,,,,2,21500
CHAMPIONS,1,"{'N. Kanu':'81'''}",,"{'D. Bergkamp':'18''','D. Suker':'79''','Martin Keown':'83''','P. Vieira':'45''','Tony Adams':'52'''}","{'G. Grimandi':'80'''}",,"{'Thierry Henry':'D. Bergkamp,75''','D. Suker':'R. Parlour,75''','F. Ljungberg':'M. Overmars,80'''}",Arsenal,,,,,,938563200000,1999-09-29,1999/2000,1,"{'Luis Enrique':'15'''}",,"{'Dani':'87''','F. De Boer':'14'''}",,,"{'R. De Boer':'M. Reiziger,70''','J. Litmanen':'Luis Enrique,77'''}",Barcelona,,,,,,3,87574
CHAMPIONS,1,"{'Nicolas Anelka':'31'''}",,"{'Savio':'72''','Gérémi':'63'''}",,,"{'Christian Karembeu':'Savio,81''','M. Sanchis':'Nicolas Anelka,89''','E. Baljic':'S. Mcmanaman,90'''}",Real Madrid,,,,,,957916800000,2000-05-09,1999/2000,2,"{'G. Élber':'54''','C. Jancker':'12'''}",,"{'G. Élber':'44''','J. Jeremies':'17''','B. Lizarazu':'79'''}",,,"{'T. Fink':'J. Jeremies,59''','H. Salihamidzic':'M. Babbel,60''','R. Santa Cruz':'C. Jancker,79'''}",Bayern München,,,,,,semifinales,60000
