leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'S. Lamouchi':'75'''}",,"{'Alain Goma':''}",,,"{'Antoine Sibierski':'Christian Henna,46'''}",Auxerre,,,,,,857520000000,1997-03-05,1996/1997,3,"{'R. Schneider':'54''','A. Möller':'83''','K. Riedle':'12'''}",,"{'S. Reuter':'88'''}",,"{'S. Reuter':'89'''}","{'R. Schneider':'W. Feiersinger,38''','I. Tanko':'S. Chapuisat,81''','R. Tretschok':'L. Ricken,90'''}",B. Dortmund,,,,,,cuartos,47500
CHAMPIONS,1,"{'J. Litmanen':'3'''}",,,,,"{'Rody Turpijn':'M. Overmars,63''','Menno Willems':'M. Melchiot,81''','Martijn Reuser':'J. Litmanen,90'''}",Ajax,,,,,,842400000000,1996-09-11,1996/1997,0,,,,,,"{'Antoine Sibierski':'A. Tasfaout,78''','S. Marlet':'Lilian Laslandes,81'''}",Auxerre,,,,,,1,18512
CHAMPIONS,0,,,,,,"{'Kristian Sørli':'Bragstad,46''','Karl Oskar Fjørtoft':'R. Strand,78'''}",Rosenborg BK,,,,,,846633600000,1996-10-30,1996/1997,3,"{'L. Drulović':'41''','Z. Zahovic':'32''','Artur':'60'''}",,,,,"{'S. Conceição':'Rui Barros,56''','Jardel':'Artur,62''','José Barroso':'Edmilson,72'''}",Porto,,,,,,4,15000
CHAMPIONS,0,,,,,,"{'Cristian Ciocoiu':'Sabin Ilie,52''','Tudorel Zamfirescu':'Aurel Călin,67''','Leonard Nemtanu':'Serban,88'''}",FCSB,,,,,,842400000000,1996-09-11,1996/1997,4,"{'J. Esnáider':'33'',45''','D. Simeone':'64'',84'''}",,,,,"{'Juan Carlos':'Kiko,62''','López':'C. Aguilera,65''','L. Biagini':'J. Esnáider,83'''}",Atlético,,,,,,1,46000
CHAMPIONS,1,,,,,,"{'M. Martinsson':'S. Pettersson,83'''}",IFK Göteborg,,,,,,843609600000,1996-09-25,1996/1997,2,"{'Artur':'27'',51'''}",,,,,"{'Folha':'Edmilson,66''','L. Drulović':'Jardel,83'''}",Porto,,,,,,2,30000
CHAMPIONS,0,,,,,,"{'Jan Berger':'A. Comisetti,68''','N. Subiat':'Esposito,76''','Joël Magnin':'P. Thüler,80'''}",Grasshopper,,,,,,845424000000,1996-10-16,1996/1997,1,"{'Thomas Deniaud':'42'''}",,,,,"{'Antoine Sibierski':'S. Lamouchi,82'''}",Auxerre,,,,,,3,17000
CHAMPIONS,0,,,"{'G. Pallister':'26'''}",,,"{'Andrew Cole':'O. Solskjær,75''','P. Scholes':'R. Giggs,83'''}",Man. Utd,,,,,,860544000000,1997-04-09,1996/1997,1,"{'R. Tretschok':'76'''}",,"{'Jörg Heinrich':'','L. Ricken':''}",,,"{'K. Reinhardt':'R. Tretschok,86''','S. Freund':'L. Ricken,89''','M. Zorc':'Heiko Herrlich,90'''}",B. Dortmund,,,,,,semifinales,48500
CHAMPIONS,1,"{'E. Davids':'56'''}",,,,,"{'M. Simone':'R. Baggio,79''','M. Ambrosini':'M. Desailly,81''','C. Dugarry':'S. Eranio,89'''}",Milan,,,,,,848448000000,1996-11-20,1996/1997,1,"{'Edmilson':'71'''}",,,,,"{'Jardel':'L. Drulović,54''','Folha':'Bino,66''','João Manuel Pinto':'Artur,83'''}",Porto,,,,,,5,50000
CHAMPIONS,1,"{'I. Durrant':'88'''}",,,,,"{'P. Van Vossen':'B. Laudrup,81''','Charlie Miller':'Derek Mcinnes,81''','I. Durrant':'I. Ferguson,85'''}",Rangers FC,,,,,,845424000000,1996-10-16,1996/1997,4,"{'Dani':'25'',41''','T. Babangida':'83''','N. Wooter':'89'''}",,,,,"{'Richard Witschge':'Martijn Reuser,41''','N. Wooter':'Dani,78'''}",Ajax,,,,,,3,48467
CHAMPIONS,2,"{'C. Vieri':'41''','N. Amoruso':'14'''}",,"{'V. Jugovic':'','A. Tacchinardi':'','A. Di Livio':''}",,,"{'A. Tacchinardi':'A. Di Livio,70''','Attilio Lombardo':'V. Jugovic,84'''}",Juventus,,,,,,860544000000,1997-04-09,1996/1997,1,"{'J. Litmanen':'66'''}",,,,,"{'W. Bogarde':'K. Musampa,27''','Dani':'Richard Witschge,71''','N. Wooter':'A. Scholten,77'''}",Ajax,,,,,,semifinales,51200
CHAMPIONS,0,,,,,,"{'P. Scholes':'O. Solskjær,70''','K. Poborsky':'D. Irwin,80''','P. Neville':'D. Beckham,80'''}",Man. Utd,,,,,,858729600000,1997-03-19,1996/1997,0,,,,,,"{'Z. Zahovic':'João Pinto,37''','A. Wetl':'José Barroso,47''','Mielcarski':'Fernando Mendes,50'''}",Porto,,,,,,cuartos,38000
