leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'S. Giannakopoulos':'90'''}",,"{'Giovanni':''}",,,"{'A. Niniadis':'D. Mavrogenidis,64''','A. Alexandris':'Zizi Roberts,77'''}",Olympiacos Piraeus,,,,,,1001450700000,2001-09-25,2001/2002,3,"{'Dagui Bakari':'33''','G. Tafforeau':'79''','B. Cheyrou':'44'''}",,,,,"{'M. Delpierre':'Djezon Boutoille,66''','G. Tafforeau':'B. Cheyrou,76''','Adékambi Olufadé':'Dagui Bakari,88'''}",Lille,,,,,,2,37000
CHAMPIONS,2,"{'A. Basinas':'80''','G. Vlaovic':'76'''}",,"{'G. Karagounis':'','J. Michaelsen':''}",,,"{'G. Vlaovic':'J. Kolkka,67''','L. Vokolos':'J. Michaelsen,77''','Šarić':'M. Konstantinou,89'''}",Panathinaikos,,,,,,1000241100000,2001-09-11,2001/2002,0,,,"{'E. Mpenza':''}",,,"{'M. Wilmots':'A. Möller,58''','G. Asamoah':'Jorg Böhme,68''','Djordjevic':'Van Hoogdalem,78'''}",Schalke 04,,,,,,1,52333
CHAMPIONS,3,"{'Stéphane Ziani':'86''','S. Armand':'64''','N. Fabbri':'3'''}",,"{'Stéphane Ziani':'','Pierre-Yves André':'','Pascal Delhommeau':''}",,,"{'Olivier Quint':'Hassan Ahamada,64''','W. Dalmat':'Pierre-Yves André,71'''}",Nantes,,,,,,1000932300000,2001-09-19,2001/2002,1,"{'Fernando Couto':'6'''}",,"{'A. Nesta':'','G. Favalli':''}",,,"{'C. López':'Mendieta,65''','G. Pancaro':'J. Stam,73''','D. Kovacevic':'H. Crespo,78'''}",Lazio,,,,,,2,30000
CHAMPIONS,1,"{'Emmanuel Olisadebe':'50'''}",,"{'S. Kyrgiakos':'','J. Michaelsen':'','Paulo Sousa':''}",,,"{'G. Vlaovic':'Paulo Sousa,77''','G. Seitaridis':'M. Konstantinou,77''','J. Kolkka':'G. Karagounis,78'''}",Panathinaikos,,,,,,1003265100000,2001-10-16,2001/2002,2,"{'Thierry Henry':'23'''}",,"{'P. Vieira':'32''','A. Cole':'74''','Lauren':'53''','M. Upson':'28'''}",,,"{'D. Bergkamp':'S. Wiltord,71''','R. Parlour':'Robert Pirès,71''','G. Grimandi':'Thierry Henry,89'''}",Arsenal,,,,,,4,35042
CHAMPIONS,1,"{'Sebescen':'86'''}",,"{'C. Ramelow':'','B. Zivkovic':'','M. Ballack':''}",,,"{'D. Berbatov':'U. Kirsten,46''','Y. Bastürk':'B. Schneider,46''','Sebescen':'B. Zivkovic,74'''}",B. Leverkusen,,,,,,1014842700000,2002-02-27,2001/2002,4,"{'Thierry Henry':'7''','P. Vieira':'48''','D. Bergkamp':'83''','Robert Pirès':'5'''}",,,,,"{'Edu Gaspar':'G. Grimandi,67''','J. Inamoto':'Lauren,84''','J. Pennant':'S. Wiltord,90'''}",Arsenal,,,,,,4,35019
CHAMPIONS,1,"{'T. Ghioane':'5'''}",,"{'T. Ghioane':'','G. Gavrančić':''}",,,"{'Idahor':'A. Khatskevich,60'''}",Dinamo Kiev,,,,,,1000932300000,2001-09-19,2001/2002,3,"{'Platiní Sánchez':'4''','Elpidio Silva':'11''','Duda':'30'''}",,"{'Frechaut':''}",,,"{'Pedro Santos':'Alexandre Goulart,80''','J. Bosingwa':'Duda,83''','Márcio Mexerica':'Elpidio Silva,88'''}",Boavista,,,,,,2,15000
CHAMPIONS,1,"{'I. Tudor':'61'''}",,"{'C. Ferrara':'14''','P. Nedved':'86''','M. Zalayeta':'64'''}",,,"{'E. Maresca':'G. Pessotto,46''','I. Tudor':'A. Conte,46''','M. Zalayeta':'N. Amoruso,61'''}",Juventus,,,,,,1015965900000,2002-03-12,2001/2002,3,"{'M. Babic':'90''','T. Brdaric':'71''','H. Butt':'24'''}",,"{'Sebescen':'','M. Babic':'','D. Placente':'','T. Brdaric':''}",,,"{'J. Vranjes':'J. Nowotny,12''','M. Babic':'D. Berbatov,83''','T. Kleine':'Y. Bastürk,90'''}",B. Leverkusen,,,,,,5,22500
CHAMPIONS,0,,,"{'Thierry Henry':'','Robert Pirès':'23'''}","{'A. Cole':'11'''}",,"{'F. Jeffers':'F. Ljungberg,75''','N. Kanu':'S. Wiltord,76''','R. Parlour':'Robert Pirès,81'''}",Arsenal,,,,,,1000241100000,2001-09-11,2001/2002,1,"{'V. Engonga':'12'''}",,"{'Olaizola':'','Niño':'','Vicente':''}",,,"{'Á. Novo':'A. Ibagaza,44''','Vicente':'V. Engonga,67''','V. Paunovic':'A. Luque,79'''}",Real Mallorca,,,,,,1,22000
CHAMPIONS,0,,,"{'F. Coco':'44''','R. Bonano':'78''','F. De Boer':'85'''}",,,"{'Xavi':'P. Cocu,54''','M. Reiziger':'F. Coco,68''','Rivaldo':'Fábio Rochemback,71'''}",Barcelona,,,,,,1017870300000,2002-04-03,2001/2002,1,"{'A. Basinas':'79'''}",,"{'S. Kyrgiakos':'','Šarić':''}",,,"{'D. Boateng':'N. Liberopoulos,60''','Emmanuel Olisadebe':'G. Vlaovic,74''','L. Vokolos':'M. Konstantinou,90'''}",Panathinaikos,,,,,,cuartos,16500
CHAMPIONS,0,,,"{'Nicolas Laspalles':'','E. Djemba-Djemba':'','N. Fabbri':''}",,,"{'Nicolas Savinaud':'M. Berson,46''','S. Olembé':'Olivier Quint,82''','Y. Deroff':'Pierre-Yves André,82'''}",Nantes,,,,,,1003956300000,2001-10-24,2001/2002,0,,,"{'J. Vogel':''}",,,"{'A. Bruggink':'D. Rommedahl,63''','John De Jong':'J. Vogel,80''','G. Gakhokidze':'W. Bouma,83'''}",PSV,,,,,,5,28000
