leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,0,,,"{'Marcelinho':'85'''}",,,"{'A. Aleksandrov':'C. Moți,22''','H. Younes':'R. Bezjak,46''','Anicet':'Fabio Espinho,64'''}",Ludogorets,47,2,2,10,4,1415133900000,2014-11-04,2014/2015,4,"{'M. Suchý':'65''','B. Embolo':'32''','D. González':'42''','S. Gashi':'59'''}","{'B. Embolo':'59''','F. Frei':'32'',42'''}","{'D. González':'43'''}",,,"{'D. Calla':'D. González,69''','M. Delgado':'S. Gashi,74''','M. Díaz':'F. Frei,81'''}",Basel,53,8,6,9,2,4,35.272
CHAMPIONS,2,"{'Son Heung-Min':'68'',73'''}","{'S. Kießling':'73''','K. Bellarabi':'68'''}","{'G. Donati':'79''','K. Bellarabi':'82'''}",,,"{'J. Drmić':'J. Brandt,53''','S. Boenisch':'T. Jedvaj,65''','R. Kruse':'S. Kießling,90'''}",B. Leverkusen,46,4,4,19,2,1415124000000,2014-11-04,2014/2015,1,"{'S. Rondón':'89'''}","{'A. Ryazantsev':'89'''}","{'O. Shatov':'82''','Danny':'38''','E. Garay':'67''','A. Witsel':'76'''}",,,"{'A. Ryazantsev':'Danny,80''','S. Rondón':'A. Kerzhakov,80''','A. Arshavin':'O. Shatov,87'''}",Zenit,54,3,5,16,2,4,17.010
CHAMPIONS,2,"{'D. N''dinga':'61''','A. Botía':'24'''}","{'G. Maniatis':'61''','A. Domínguez':'24'''}","{'A. Botía':'85'''}",,,"{'D. Fuster':'A. Domínguez,72''','P. Kasami':'D. N''dinga,77''','D. Diamantakos':'G. Maniatis,83'''}",Olympiacos Piraeus,39,5,5,19,3,1415133900000,2014-11-04,2014/2015,3,"{'A. Pirlo':'21''','P. Pogba':'67'''}","{'F. Llorente':'67'''}","{'C. Tévez':'49'''}",,,"{'F. Llorente':'Á. Morata,58''','S. Padoin':'C. Marchisio,71''','R. Pereyra':'K. Asamoah,83'''}",Juventus,61,6,4,9,3,4,39.091
CHAMPIONS,1,"{'C. Ronaldo':'27'''}","{'James':'27'''}","{'D. Carvajal':'74''','Marcelo':'56''','James':'84'''}",,,"{'Chicharito':'Isco,63''','Jesé':'G. Bale,86'''}",Real Madrid,52,3,5,13,5,1430858700000,2015-05-05,2014/2015,2,"{'Á. Morata':'9'''}","{'C. Tévez':'9'''}","{'C. Tévez':'46''','L. Bonucci':'5''','A. Vidal':'56''','G. Chiellini':'91'''}",,,"{'A. Barzagli':'S. Sturaro,64''','F. Llorente':'Á. Morata,77''','R. Pereyra':'C. Tévez,85'''}",Juventus,48,7,1,20,2,semifinales,41.011
CHAMPIONS,1,"{'D. González':'38'''}","{'L. Zuffi':'38'''}","{'W. Samuel':'59''','T. Xhaka':'90''','M. Elneny':'54'''}",,,"{'Y. Kakitani':'W. Samuel,64''','B. Embolo':'M. Streller,73''','M. Delgado':'F. Frei,83'''}",Basel,48,5,2,8,4,1410900300000,2014-09-16,2014/2015,5,"{'G. Bale':'30''','K. Benzema':'79''','C. Ronaldo':'31''','James':'36'''}","{'G. Bale':'31''','C. Ronaldo':'79''','L. Modrić':'30'''}","{'Pepe':'85'''}",,,"{'R. Varane':'Sergio Ramos,65''','A. Illarramendi':'L. Modrić,74''','Chicharito':'K. Benzema,82'''}",Real Madrid,52,9,7,8,4,1,65364
CHAMPIONS,1,"{'M. Reus':'18'''}",,,,,"{'M. Ginter':'Ł. Piszczek,32''','O. Kirch':'Sokratis,46''','J. Blaszczykowski':'C. Immobile,76'''}",B. Dortmund,52,3,4,10,2,1424810700000,2015-02-24,2014/2015,2,"{'C. Tévez':'13''','Á. Morata':'43'''}","{'P. Pogba':'43''','Á. Morata':'13'''}","{'R. Pereyra':'80''','A. Vidal':'48'''}",,,"{'R. Pereyra':'A. Pirlo,37''','S. Padoin':'A. Vidal,86''','K. Coman':'C. Tévez,89'''}",Juventus,48,4,8,8,2,octavos,41.182
CHAMPIONS,2,"{'Neymar':'15'',29'''}","{'L. Suárez':'15'',29'''}","{'I. Rakitić':'64''','Pedro':'85'''}",,,"{'Pedro':'L. Suárez,47''','J. Mathieu':'I. Rakitić,71''','Xavi':'A. Iniesta,75'''}",Barcelona,47,4,1,12,5,1431463500000,2015-05-12,2014/2015,3,"{'M. Benatia':'7''','T. Müller':'74''','R. Lewandowski':'59'''}","{'B. Schweinsteiger':'59'',74''','Xabi Alonso':'7'''}","{'Thiago':'46''','S. Rode':'83''','R. Lewandowski':'76''','Xabi Alonso':'81''','Rafinha':'41'''}",,,"{'S. Rode':'P. Lahm,68''','J. Martínez':'B. Schweinsteiger,87''','M. Götze':'T. Müller,87'''}",Bayern München,53,8,5,19,2,semifinales,70.000
CHAMPIONS,4,"{'P. Aubameyang':'6'',18''','Ramos':'83''','M. Reus':'41'''}","{'Ł. Piszczek':'18''','I. Gündogan':'83''','M. Reus':'6''','S. Kagawa':'41'''}",,,,"{'M. Ginter':'S. Bender,55''','I. Gündogan':'M. Hummels,69''','Ramos':'S. Kagawa,82'''}",B. Dortmund,42,10,5,11,1,1414010700000,2014-10-22,2014/2015,0,,,"{'S. Kaya':'68''','W. Sneijder':'25'''}",,,"{'B. Dzemaili':'H. Altintop,61''','Yasin Oztekin':'A. Telles,62''','E. Çolak':'G. Pandev,78'''}",Galatasaray SK,58,1,7,3,6,3,52.650
CHAMPIONS,0,,,"{'I. Afellay':'48''','G. Maniatis':'56''','L. Milivojevic':'68'''}",,,"{'A. Domínguez':'D. N''dinga,57''','J. Durmaz':'P. Kasami,69''','D. Diamantakos':'I. Afellay,80'''}",Olympiacos Piraeus,61,6,7,9,5,1412196300000,2014-10-01,2014/2015,2,"{'M. Rosenberg':'42'',82'''}","{'P. Cibicki':'82'''}","{'E. Adu':'70'''}",,,"{'P. Cibicki':'M. Eriksson,75''','E. Rakip':'E. Forsberg,90'''}",Malmö,39,7,2,12,6,2,20.500
CHAMPIONS,1,"{'Thiago':'28'''}","{'J. Boateng':'28'''}","{'P. Lahm':'38''','J. Bernat':'16''','S. Rode':'71''','M. Neuer':'2'''}",,,"{'S. Rode':'M. Götze,56''','H. Badstuber':'Xabi Alonso,74'''}",Bayern München,61,3,6,22,2,1429130700000,2015-04-15,2014/2015,3,"{'R. Quaresma':'9''','J. Martínez':'64'''}","{'Alex Sandro':'64'''}","{'Casemiro':'31''','Alex Sandro':'37''','Danilo':'83'''}",,,"{'Rúben Neves':'Ó. Torres,75''','Hernâni':'Y. Brahimi,79''','Evandro':'R. Quaresma,84'''}",Porto,39,5,3,16,2,cuartos,50.092
