leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'R. Ayala':'41'''}",,"{'M. Pellegrino':'58''','R. Ayala':'','Kily González':'55''','R. Baraja':'32''','J. Angloma':'52'''}",,,"{'M. Angulo':'P. Aimar,68''','Vicente':'Mendieta,89'''}",Valencia,,,,,,986417100000,2001-04-04,2000/2001,2,"{'Thierry Henry':'58''','R. Parlour':'60'''}",,"{'Robert Pirès':'54'''}",,,"{'S. Wiltord':'F. Ljungberg,46''','Lauren':'N. Kanu,84'''}",Arsenal,,,,,,cuartos,38000
CHAMPIONS,2,"{'G. Gottardi':'84''','H. Crespo':'3'''}",,"{'A. Nesta':'28''','J. Verón':'75''','G. Pancaro':'12''','Fernando Couto':'88'''}",,,"{'G. Gottardi':'L. Castromán,61''','Roberto Baronio':'J. Verón,78''','S. Mihajlovic':'D. Simeone,89'''}",Lazio,,,,,,982097100000,2001-02-13,2000/2001,3,"{'F. Morientes':'32''','I. Helguera':'82'''}",,"{'C. Makélélé':'23''','I. Helguera':'45'''}",,,"{'P. Munitis':'F. Morientes,65''','Guti':'S. Mcmanaman,76''','S. Solari':'I. Helguera,90'''}",Real Madrid,,,,,,3,78000
CHAMPIONS,2,"{'H. Zubov':'56'''}",,"{'D. Gleveckas':'65''','Marian Aliutã':'26'''}",,,"{'Vitaliy Abramov':'Kovalov S.,78''','O. Belik':'S. Atelkin,79'''}",Shakhtar Donetsk,,,,,,970087500000,2000-09-27,2000/2001,3,"{'Michal Hornak':'73''','T. Rosický':'54''','J. Jarosik':'82'''}",,,,,"{'M. Prohaszka':'J. Obajdin,76''','V. Kolousek':'Z. Svoboda,87''','P. Papousek':'L. Sionko,90'''}",Sparta Praha,,,,,,3,7391
CHAMPIONS,1,"{'B. Johansen':'45'''}",,"{'R. Nilsson':''}",,,"{'Michael Hansson':'C. Andersson,72''','H. Eklund':'B. Johansen,82''','R. Prica':'Stig Johansen,82'''}",Helsingborgs,,,,,,969396300000,2000-09-19,2000/2001,4,"{'Nicolas Anelka':'25''','Christian':'81''','Talal El Karkouri':'90''','L. Robert':'63'''}",,"{'B. Mendy':'','Talal El Karkouri':''}",,,"{'E. Cissé':'A. Benarbia,75''','Igor Yanovski':'S. Dalmat,82''','Laurent Leroy':'Christian,89'''}",PSG,,,,,,2,28303
CHAMPIONS,0,,,,,,"{'Vladimir Kuzmichev':'A. Gerasimenko,62''','Demetradze':'M. Shatskikh,67''','S. Fedorov':'Aleksandr Golovko,76'''}",Dinamo Kiev,,,,,,973716300000,2000-11-08,2000/2001,1,"{'Teddy Sheringham':'18'''}",,,,,"{'Q. Fortune':'R. Giggs,34''','D. Yorke':'Teddy Sheringham,74''','M. Silvestre':'Q. Fortune,88'''}",Man. Utd,,,,,,6,66776
CHAMPIONS,0,,,"{'Dmitri Parfenov':'77'''}",,,"{'M. Kalinichenko':'Róbson,46''','Aleksandr Chtchegolev':'E. Bushmanov,46'''}",Spartak Moskva,,,,,,976049100000,2000-12-05,2000/2001,3,"{'Sonny Anderson':'31'',42''','S. Marlet':'2'''}",,"{'J. Bréchet':'41'''}",,,"{'Jacek Bąk':'Sonny Anderson,72''','S. Malbranque':'V. Dhorasoo,82''','Tony Vairelles':'S. Marlet,89'''}",Olympique Lyonnais,,,,,,2,38404
CHAMPIONS,3,"{'Titov':'52'',68'''}",,"{'V. Bulatov':'38''','Róbson':'47''','Marcão':'17''','Dmitri Parfenov':'39'''}",,,"{'M. Kalinichenko':'Marcão,62''','Pisarev':'Róbson,85'''}",Spartak Moskva,,,,,,971815500000,2000-10-17,2000/2001,0,,,"{'André Cruz':'34'''}",,,"{'Rodrigo Fabri':'Rui Jorge,38''','Pedro Barbosa':'João Pinto,57''','M. Mpenza':'P. Horvath,57'''}",Sporting CP,,,,,,4,30000
CHAMPIONS,3,"{'M. Scholl':'17''','Paulo Sérgio':'87'''}",,"{'B. Lizarazu':'53''','T. Fink':'25''','T. Linke':'82''','S. Effenberg':'50'''}",,,"{'C. Jancker':'M. Scholl,82''','Paulo Sérgio':'G. Élber,82''','O. Hargreaves':'T. Fink,90'''}",Bayern München,,,,,,982778400000,2001-02-21,2000/2001,0,,,"{'Jafar Irismetov':'56''','Dmitriy Ananko':'39'''}",,,"{'Marcão':'Jafar Irismetov,69''','Artyom Bezrodny':'V. Baranov,80'''}",Spartak Moskva,,,,,,4,65000
CHAMPIONS,2,"{'F. Coco':'45''','O. Bierhoff':'71'''}",,"{'G. Gattuso':'1''','Demetrio Albertini':'1''','José Antonio Chamot':'1'''}",,,"{'G. Comandini':'O. Bierhoff,76''','Thomas Helveg':'M. Ambrosini,85''','A. Guglielminpietro':'G. Gattuso,90'''}",Milan,,,,,,970001100000,2000-09-26,2000/2001,0,,,"{'Richard Dutruel':'28'''}",,,"{'Luis Enrique':'I. De La Peña,46''','M. Overmars':'Gerard,64''','Dani':'Abelardo,80'''}",Barcelona,,,,,,3,98000
CHAMPIONS,0,,,,,,"{'Max Houttuin':'J. Talan,44''','R. Denneboom':'Harris Huizingh,81''','Ignacio Tuhuteru':'A. Lurling,83'''}",Heerenveen,,,,,,970087500000,2000-09-27,2000/2001,2,"{'Giovanni':'52'',69'''}",,,,,"{'S. Giannakopoulos':'Luciano,83''','I. Poursanidis':'P. Zetterberg,86''','A. Niniadis':'Peter Ofori-Quaye,89'''}",Olympiacos Piraeus,,,,,,3,52000
