leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,0,,,"{'D. Pizarro':'57''','P. Mexès':'24''','J. Riise':'82''','S. Perrotta':'65'''}",,"{'P. Mexès':'41'''}","{'A. Rosi':'R. Taddei,46''','M. Brighi':'M. Vucinic,66''','G. Caprari':'S. Perrotta,86'''}",Roma,,,,,,1299617100000,2011-03-08,2010/2011,3,"{'Willian':'58''','T. Hübschman':'18''','Eduardo':'87'''}","{'Willian':'18''','D. Srna':'58'''}","{'D. Srna':'45''','H. Mkhitaryan':'28'''}",,,"{'Eduardo':'D. Costa,60''','Alex Teixeira':'H. Mkhitaryan,67''','':'Luiz Adriano,75'''}",Shakhtar Donetsk,,,,,,octavos,46.543
CHAMPIONS,0,,,"{'A. Moreira':'31'''}",,,"{'Medo':'A. Moreira,46''','P. Boya':'S. Šćepović,54''','S. Babovic':'N. Tomić,88'''}",Partizan Beograd,,,,,,1287521100000,2010-10-19,2010/2011,2,"{'Lima':'35''','Matheus Nascimento':'90'''}","{'L. Aguiar':'90'''}","{'A. Madrid':'54''','L. Aguiar':'86'''}",,,"{'Leandro Salino':'Paulo César,69''','L. Aguiar':'A. Madrid,73''','M. Mossoró':'Lima,87'''}",Sporting Braga,,,,,,3,11.454
CHAMPIONS,3,"{'Luiz Adriano':'42''','D. Costa':'36''','Jádson':'29'''}","{'D. Costa':'42''','Jádson':'36'''}","{'Luiz Adriano':'62''','A. Pyatov':'88''','Y. Rakitsky':'85''','D. Chygrynskiy':'34'''}",,,"{'Eduardo':'D. Costa,66''','V. Vitsenets':'H. Mkhitaryan,78''','Alex Teixeira':'Jádson,85'''}",Shakhtar Donetsk,,,,,,1297889100000,2011-02-16,2010/2011,2,"{'J. Ménez':'61''','S. Perrotta':'28'''}","{'R. Taddei':'28''','S. Perrotta':'61'''}","{'S. Perrotta':'77''','J. Ménez':'75''','M. Cassetti':'64'''}",,,"{'P. Castellini':'J. Riise,46''','M. Borriello':'M. Vucinic,68'''}",Roma,,,,,,octavos,35.873
CHAMPIONS,2,"{'T. Alderweireld':'66''','D. De Zeeuw':'57'''}","{'L. Suárez':'66'''}","{'M. Sulejmani':'48''','L. Suárez':'35'''}",,,"{'R. Lindgren':'D. De Zeeuw,82''','M. El Hamdaoui':'S. De Jong,84''','T. Tainio':'L. Suárez,90'''}",Ajax,,,,,,1291841100000,2010-12-08,2010/2011,0,,,,,,"{'K-P. Boateng':'M. Flamini,26''','Z. Ibrahimovic':'M. Ambrosini,63''','A. Merkel':'Robinho,76'''}",Milan,,,,,,6,50.000
CHAMPIONS,0,,,"{'J. Djourou':'74''','T. Rosický':'84''','E. Eboué':'38''','Denilson':'70''','C. Vela':'78'''}",,,"{'S. Nasri':'C. Fàbregas,69''','M. Chamakh':'N. Bendtner,74''','C. Vela':'T. Walcott,77'''}",Arsenal,,,,,,1290545100000,2010-11-23,2010/2011,2,"{'Matheus Nascimento':'83'',90'''}",,"{'Miguel García':'78''','L. Aguiar':'55'''}",,,"{'A. Madrid':'L. Aguiar,80''','Elton':'Lima,81''','H. Viana':'Vandinho,89'''}",Sporting Braga,,,,,,5,14.809
CHAMPIONS,1,"{'P. Crouch':'80'''}","{'A. Lennon':'80'''}",,,,"{'J. Woodgate':'V. Ćorluka,59''','L. Modrić':'R. Van Der Vaart,62''','N. Kranjčar':'S. Pienaar,76'''}",Tottenham Hotspur,,,,,,1297802700000,2011-02-15,2010/2011,0,,,"{'M. Flamini':'55''','G. Gattuso':'76''','M. Yepes':'61'''}",,,"{'M. Amelia':'C. Abbiati,18''','A. Pato':'C. Seedorf,46'''}",Milan,,,,,,octavos,75.652
CHAMPIONS,1,"{'Y. Rakitsky':'60'''}","{'D. Srna':'60'''}","{'R. Raț':'51''','Fernandinho':'77''','Y. Rakitsky':'66'''}",,,"{'Fernandinho':'Jádson,70''','Alex Teixeira':'Willian,75''','Eduardo':'T. Hübschman,83'''}",Shakhtar Donetsk,,,,,,1302122700000,2011-04-06,2010/2011,5,"{'Xavi':'86''','D. Alves':'34''','A. Iniesta':'2''','S. Keita':'61''','G. Piqué':'53'''}","{'Xavi':'53''','A. Iniesta':'34''','D. Alves':'86''','L. Messi':'61'''}","{'A. Iniesta':'59'''}",,,"{'Pedro':'D. Villa,71''','Maxwell':'Adriano,77''','I. Afellay':'A. Iniesta,90'''}",Barcelona,,,,,,cuartos,86.518
CHAMPIONS,2,"{'M. Gómez':'33'',39'''}","{'F. Ribéry':'33''','T. Müller':'39'''}","{'T. Kraft':'83''','T. Kroos':'19'''}",,,"{'D. Contento':'T. Müller,72''','H. Altintop':'F. Ribéry,77'''}",Bayern München,,,,,,1290545100000,2010-11-23,2010/2011,3,"{'M. Borriello':'49''','D. De Rossi':'81''','F. Totti':'84'''}","{'J. Riise':'81''','J. Ménez':'49'''}","{'P. Mexès':'21''','D. De Rossi':'71''','L. Greco':'13''','J. Ménez':'90'''}",,,"{'F. Simplício':'L. Greco,46''','F. Totti':'M. Brighi,75''','D. Pizarro':'M. Vucinic,82'''}",Roma,,,,,,5,42.789
CHAMPIONS,1,"{'L. Messi':'43'''}","{'D. Alves':'43'''}","{'G. Milito':'71'''}",,,"{'Pedro':'Xavi,66''','G. Milito':'G. Piqué,70''','Jeffren':'D. Villa,75'''}",Barcelona,,,,,,1302641100000,2011-04-12,2010/2011,0,,,"{'H. Mkhitaryan':'56''','M. Ishchenko':'60'''}",,,"{'Eduardo':'D. Costa,58''','':'Luiz Adriano,67''','Fernandinho':'T. Hübschman,75'''}",Shakhtar Donetsk,,,,,,cuartos,51.579
CHAMPIONS,4,"{'Á. Arbeloa':'44''','K. Benzema':'36''','C. Ronaldo':'70'',81'''}","{'M. Özil':'36''','Á. Di María':'70'''}","{'Sergio Ramos':'33''','R. Albiol':'84''','Xabi Alonso':'68''','C. Ronaldo':'61'''}",,"{'Sergio Ramos':'90''','Xabi Alonso':'87'''}","{'Á. Di María':'Pedro León,65''','S. Canales':'L. Diarra,82''','Mateos':'K. Benzema,82'''}",Real Madrid,,,,,,1290545100000,2010-11-23,2010/2011,0,,,"{'E. Enoh':'35''','D. De Zeeuw':'61'''}",,,"{'D. De Zeeuw':'M. El Hamdaoui,46''','R. Lindgren':'S. De Jong,76''','C. Eriksen':'M. Sulejmani,88'''}",Ajax,,,,,,5,51.466
