leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,2,"{'C. Ronaldo':'47''','L. Modrić':'25'''}","{'Pepe':'47''','Isco':'25'''}","{'Xabi Alonso':'64''','Marcelo':'17'''}",,,"{'Á. Di María':'Isco,67''','A. Illarramendi':'Xabi Alonso,77''','Casemiro':'L. Modrić,82'''}",Real Madrid,63,9,6,11,1,1386708300000,2013-12-10,2013/2014,0,,,"{'T. Delaney':'89'''}",,,"{'C. Bolaños':'N. Jorgensen,8''','M. Pourie':'Y. Toutouh,77''','C. Remmer':'C. Bolaños,77'''}",Kobenhavn,37,2,1,21,3,6,37.241
CHAMPIONS,0,,,"{'C. Marchisio':'18''','C. Tévez':'59'''}",,,"{'F. Quagliarella':'C. Marchisio,87''','S. Giovinco':'L. Bonucci,90'''}",Juventus,48,3,5,,4,1386770400000,2013-12-11,2013/2014,1,"{'W. Sneijder':'85'''}","{'D. Drogba':'85'''}","{'F. Muslera':'89''','U. Bulut':'89''','W. Sneijder':'77'''}",,,"{'U. Bulut':'E. Eboué,80''','C. Gulselam':'W. Sneijder,92'''}",Galatasaray SK,52,2,5,,1,6,37.375
CHAMPIONS,0,,,"{'Ruben Amorin':'42''','M. Pereira':'33''','N. Matic':'37'''}",,,"{'Lima':'O. Cardozo,70''','F. Djuricic':'L. Markovic,73''','I. Cavaleiro':'Ruben Amorin,79'''}",Benfica,55,7,6,16,2,1383684300000,2013-11-05,2013/2014,1,"{'K. Manolas':'13'''}","{'J. Holebas':'13'''}","{'D. N''dinga':'89''','Roberto':'85''','A. Domínguez':'90''','S. Yatabaré':'38'''}",,,"{'A. Domínguez':'J. Saviola,46''','D. N''dinga':'S. Yatabaré,56''','G. Bong':'D. Fuster,74'''}",Olympiacos Piraeus,45,2,2,17,0,4,31.461
CHAMPIONS,1,,,"{'M. Schmelzer':'39'''}","{'R. Weidenfeller':'45'''}",,"{'P. Aubameyang':'M. Hummels,45''','M. Langerak':'J. Blaszczykowski,45''','J. Hofmann':'H. Mkhitaryan,76'''}",B. Dortmund,43,5,3,15,5,1379537100000,2013-09-18,2013/2014,2,"{'G. Higuaín':'29''','L. Insigne':'67'''}","{'C. Zúñiga':'29'''}","{'M. Britos':'36''','L. Insigne':'68''','V. Behrami':'33'''}",,,"{'D. Mertens':'L. Insigne,73''','G. Pandev':'G. Higuaín,78''','G. Mesto':'M. Hamšík,92'''}",Napoli,57,7,8,12,4,1,55.766
CHAMPIONS,1,"{'V. Kompany':'89'''}",,"{'P. Zabaleta':'30''','A. Kolarov':'23''','Fernandinho':'9''','V. Kompany':'73'''}",,"{'P. Zabaleta':'78'''}","{'E. Džeko':'S. Agüero,46''','Á. Negredo':'D. Silva,72''','J. Navas':'S. Nasri,74'''}",Man. City,45,4,4,21,1,1394657100000,2014-03-12,2013/2014,2,"{'D. Alves':'90''','L. Messi':'67'''}",,"{'C. Fàbregas':'54'''}",,,"{'A. Sánchez':'Neymar,80''','Sergi Roberto':'C. Fàbregas,87'''}",Barcelona,55,6,4,6,3,octavos,85957
CHAMPIONS,0,,,"{'G. Elustondo':'35'''}",,,"{'Javi Ros':'R. Pardo,69''','H. Seferović':'C. Vela,74''','I. Agirretxe':'A. Griezmann,74'''}",R. Sociedad,53,4,5,15,2,1385585100000,2013-11-27,2013/2014,4,"{'Luiz Adriano':'37''','D. Costa':'68'',87''','Alex Teixeira':'48'''}","{'Taison':'87''','D. Costa':'37''','Alex Teixeira':'68'''}","{'O. Kucher':'84''','T. Stepanenko':'58''','Y. Rakitsky':'16'''}",,,"{'Taison':'Bernard,69''','F. Ferreyra':'Luiz Adriano,72''','Eduardo':'Alex Teixeira,75'''}",Shakhtar Donetsk,47,6,6,15,2,5,44.348
CHAMPIONS,0,,,"{'Maxwell':'79''','E. Cavani':'40''','M. Verratti':'27''','Lucas Moura':'52'''}",,,"{'Y. Cabaye':'M. Verratti,55''','J. Pastore':'E. Lavezzi,73''','Marquinhos':'Lucas Moura,84'''}",PSG,48,3,4,13,2,1396989900000,2014-04-08,2013/2014,2,"{'A. Schürrle':'32''','D. Ba':'87'''}","{'David Luiz':'32'''}","{'Willian':'24''','David Luiz':'82''','B. Ivanovic':'55''','F. Lampard':'41'''}",,,"{'A. Schürrle':'E. Hazard,18''','D. Ba':'F. Lampard,66''','F. Torres':'Oscar,81'''}",Chelsea,52,4,4,15,3,cuartos,38080
CHAMPIONS,0,,,,,,,Shakhtar Donetsk,46,3,4,15,6,1386708300000,2013-12-10,2013/2014,1,"{'Phil Jones':'67'''}","{'R. Van Persie':'67'''}",,,,"{'R. Van Persie':'R. Giggs,63''','T. Cleverley':'A. Young,63'''}",Man. Utd,54,3,4,8,0,6,74.506
CHAMPIONS,1,"{'Adrián':'53'''}",,"{'Raúl García':'84''','Juanfran':'30'''}",,,"{'Ó. Torres':'C. Rodríguez,80'''}",Atlético,38,5,2,15,1,1385488800000,2013-11-26,2013/2014,1,,,,,,"{'A. Arshavin':'R. Shirokov,63''','V. Bystrov':'V. Fayzulin,64'''}",Zenit,62,3,6,17,5,5,17.885
CHAMPIONS,2,"{'G. Bale':'59''','C. Ronaldo':'51'''}","{'K. Benzema':'51''','C. Ronaldo':'59'''}","{'R. Varane':'40''','L. Modrić':'34'''}",,,"{'A. Illarramendi':'Xabi Alonso,70''','Á. Di María':'G. Bale,74''','Jesé':'K. Benzema,80'''}",Real Madrid,49,4,3,6,5,1383684300000,2013-11-05,2013/2014,2,"{'F. Llorente':'64'''}","{'M. Cáceres':'64'''}","{'A. Pirlo':'43''','L. Bonucci':'71'''}",,,"{'F. Quagliarella':'C. Tévez,81''','S. Giovinco':'F. Llorente,87'''}",Juventus,51,12,7,10,3,4,40.696
