leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,0,,,,,,,B. Monchengladbach,,,,,,229197600000,1977-04-06,1976/1977,1,"{'V. Onishchenko':'71'''}",,"{'M. Fomenko':'42'''}",,,"{'Petr Slobodyan':'A. Berezhnoy,64'''}",Dinamo Kiev,,,,,,semifinales,102000
CHAMPIONS,0,,,"{'Rešad Kunovac':''}",,,"{'P. Borota':'Radmilo Ivančević,28''','Boško Đorđević':'Pavle Grubješić,46'''}",Partizan Beograd,,,,,,211658400000,1976-09-15,1976/1977,3,"{'V. Troshkin':'80''','V. Onishchenko':'7'''}",,"{'O. Blokhin':''}",,,"{'Yuriy Kovaliev':'V. Muntyan,72'''}",Dinamo Kiev,,,,,,1/16 final,41000
CHAMPIONS,1,"{'Robert Giuliani':'11'''}",,"{'R. Da Grava':'','Robert Giuliani':''}",,,"{'G. Di Pentima':'Adrien Koster,87'''}",Jeunesse d'Esch,,,,,,211593600000,1976-09-15,1976/1977,5,"{'Zóltan Ebedli':'80''','Tibor Onhausz':'49''','T. Nyilasi':'14'',23''','István Magyar':'35'''}",,,,,"{'Gusztáv Kelemen':'Ferenc Szabó,80'''}",Ferencvárosi,,,,,,1/16 final,12000
CHAMPIONS,1,"{'W. Hannes':'85'''}",,,,,"{'W. Hannes':'C. Kulik,76''','Horst Köppel':'Uli Stielike,89'''}",B. Monchengladbach,,,,,,227390400000,1977-03-16,1976/1977,0,,,,,,"{'Dirk Hinderyckx':'R. Lambert,46'''}",Club Brugge,,,,,,cuartos,32000
CHAMPIONS,0,,,"{'Salvatore Garritano':'66''','Cesare Butti':'49'''}","{'R. Zaccarelli':'67''','Luciano Castellini':'70''','Vittorio Caporale':'43'''}",,"{'Salvatore Garritano':'Paolino Pulici,46'''}",Torino,,,,,,215899200000,1976-11-03,1976/1977,0,,,,,,"{'Kalle Del''haye':'Herbert Heidenreich,67'''}",B. Monchengladbach,,,,,,octavos,67000
CHAMPIONS,0,,,,,,"{'V. Muntyan':'Petr Slobodyan,83'''}",Dinamo Kiev,,,,,,226180800000,1977-03-02,1976/1977,1,"{'Rainer Künkel':'43'''}",,,,,"{'Josef Weiß':'Uli Hoeneß,83''','Erhan Önal':'F. Roth,83'''}",Bayern München,,,,,,cuartos,75000
CHAMPIONS,0,,,"{'Anatoliy Konkov':''}",,,"{'V. Muntyan':'V. Zuev,54'''}",Dinamo Kiev,,,,,,230414400000,1977-04-20,1976/1977,2,"{'H. Wittkamp':'82'''}",,,,,"{'W. Hannes':'Uli Stielike,80'''}",B. Monchengladbach,,,,,,semifinales,70000
CHAMPIONS,0,,,,,,"{'Josef Foks':'Zdeněk Svatonský,59''','Josef Sláma':'Arnošt Kvasnica,74'''}",Baník Ostrava,,,,,,215899200000,1976-11-03,1976/1977,5,"{'K. Rummenigge':'37''','C. Torstensson':'74''','J. Kapellmann':'71''','Gerd Müller':'15'',48'''}",,"{'U. Horsmann':'70''','Gerd Müller':'82'''}",,,,Bayern München,,,,,,octavos,60000
CHAMPIONS,0,,,"{'Roberto Martínez':'64'''}",,,"{'Roberto Martínez':'Velázquez,46''','Del Bosque':'Guerini,46'''}",Real Madrid,,,,,,215899200000,1976-11-03,1976/1977,2,"{'Ulrik Le Fevre':'17'''}",,,,,,Club Brugge,,,,,,octavos,32000
CHAMPIONS,1,"{'Svend Poulsen':'34'''}",,,,,"{'John Fagerholt':'Claus Larsen,73'''}",Køge BK,,,,,,212875200000,1976-09-29,1976/1977,2,"{'F. Beckenbauer':'7''','C. Torstensson':'74'''}",,,,,"{'C. Torstensson':'Bernd Dürnberger,60'''}",Bayern München,,,,,,1/16 final,25000
