leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,1,"{'P. Coutinho':'31'''}","{'S. Mané':'31'''}","{'R. Firmino':'75''','E. Can':'7'''}",,,"{'D. Sturridge':'S. Mané,70''','G. Wijnaldum':'E. Can,73'''}",Liverpool,65,6,5,11,1,1506458700000,2017-09-26,2017/2018,1,"{'Fernando Lucas':'23'''}",,"{'S. Bocchetti':'47'''}",,,"{'A. Selikhov':'A. Rebrov,68''','L. Melgarejo':'I. Popov,84''','P. Rocha':'A. Samedov,90'''}",Spartak Moskva,35,2,2,11,5,2,43.376
CHAMPIONS,2,"{'C. Tosun':'34'',54'''}","{'R. Quaresma':'34''','R. Babel':'54'''}","{'T. Arslan':'36''','Pepe':'16'''}",,,"{'O. Özyakup':'T. Arslan,74''','G. Medel':'Anderson Talisca,75''','Á. Negredo':'C. Tosun,89'''}",Beşiktaş,48,5,6,11,5,1508273100000,2017-10-17,2017/2018,1,"{'R. Falcao':'30'''}","{'K. Baldé':'30'''}","{'K. Baldé':'49'''}",,,"{'Rony Lopes':'Y. Tielemans,57''','G. Boschilia':'D. Sidibé,80'''}",Monaco,52,6,6,14,3,3,7.403
CHAMPIONS,1,,,"{'I. Gündogan':'57''','Danilo':'22'''}",,,"{'Brahim':'L. Sané,62''','S. Agüero':'Fernandinho,70'''}",Man. City,68,2,6,10,4,1512593100000,2017-12-06,2017/2018,2,"{'Bernard':'26''','Ismaily':'32'''}","{'Marlos':'26'',32'''}","{'Y. Rakitsky':'54'''}",,,"{'M. Azevedo':'Ismaily,64''','V. Kovalenko':'Marlos,82''','D. Khocholava':'F. Ferreyra,89'''}",Shakhtar Donetsk,32,6,2,9,1,6,33.154
CHAMPIONS,2,"{'W. Ben Yedder':'74'',78'''}","{'P. Sarabia':'74''','J. Correa':'78'''}","{'P. Sarabia':'90''','J. Correa':'88''','É. Banega':'6''','W. Ben Yedder':'78'''}",,,"{'W. Ben Yedder':'L. Muriel,72''','Guido Pizarro':'F. Vázquez,87''','J. Geis':'J. Correa,89'''}",Sevilla,49,6,3,10,2,1520973900000,2018-03-13,2017/2018,1,"{'R. Lukaku':'84'''}","{'M. Rashford':'84'''}","{'M. Rashford':'93'''}",,,"{'P. Pogba':'M. Fellaini,60''','J. Mata':'A. Valencia,77''','A. Martial':'J. Lingard,77'''}",Man. Utd,51,3,5,9,4,octavos,74.909
CHAMPIONS,1,"{'L. Messi':'75'''}","{'A. Iniesta':'75'''}","{'I. Rakitić':'29''','S. Busquets':'90''','L. Suárez':'77'''}",,,"{'Aleix Vidal':'Paulinho,63''','A. Gomes':'A. Iniesta,91'''}",Barcelona,74,2,4,13,1,1519159500000,2018-02-20,2017/2018,1,"{'Willian':'62'''}","{'E. Hazard':'62'''}","{'A. Rüdiger':'80''','Á. Morata':'86'''}",,,"{'Á. Morata':'Pedro,83''','D. Drinkwater':'C. Fàbregas,84'''}",Chelsea,26,2,3,17,1,octavos,37.741
CHAMPIONS,0,,,,,,"{'Josué Sá':'U. Spajic,45''','L. Teodorczyk':'S. Hanni,60''','N. Stanciu':'H. Onyekuru,79'''}",Anderlecht,44,2,3,9,5,1509482700000,2017-10-31,2017/2018,5,"{'L. Kurzawa':'52'',72'',78''','M. Verratti':'30''','Neymar':'45'''}","{'J. Draxler':'45''','K. Mbappé':'30''','Á. Di María':'78'''}",,,,"{'Á. Di María':'M. Verratti,64''','G. Lo Celso':'K. Mbappé,64''','J. Pastore':'A. Rabiot,76'''}",PSG,56,10,7,13,2,4,46.403
CHAMPIONS,2,"{'K. Manolas':'7''','E. Džeko':'15'''}","{'Lorenzo Pellegrini':'7''','S. El Shaarawy':'15'''}","{'M. Gonalons':'43'''}",,,"{'A. Florenzi':'G. Defrel,58''','D. De Rossi':'M. Gonalons,68''','K. Strootman':'Lorenzo Pellegrini,82'''}",Roma,59,9,9,8,0,1506535200000,2017-09-27,2017/2018,1,"{'Pedro Henrique':'29'''}","{'D. Ndlovu':'29'''}","{'Q. Qarayev':'39''','Pedro Henrique':'41'''}",,,"{'T. Elyounoussi':'Pedro Henrique,76''','D. Guerrier':'M. Emreli,82''','D. Quintana':'Míchel,88'''}",Qarabağ,41,1,4,21,7,2,67.200
CHAMPIONS,3,"{'C. Tosun':'28''','R. Babel':'86''','Anderson Talisca':'13'''}","{'R. Quaresma':'13''','Á. Negredo':'86'''}","{'C. Erkin':'68'''}",,,"{'G. Medel':'O. Özyakup,66''','Á. Negredo':'R. Quaresma,73''','N. Uysal':'Adriano,87'''}",Beşiktaş,46,4,3,10,4,1505335500000,2017-09-13,2017/2018,1,,,"{'Ricardo Pereira':'11''','André André':'81'''}",,,"{'Otávio':'Jesús Corona,46''','André André':'Ó. Torres,47''','Hernâni':'D. Pereira,82'''}",Porto,54,5,11,15,1,1,42.429
CHAMPIONS,0,,,"{'J. Rueda':'83''','R. Sallai':'68'''}",,,"{'R. Sallai':'Vinicius,46''','I. De Camargo':'E. Aloneftis,75''','M. Antoniou':'M. Poté,81'''}",APOEL,35,0,2,8,7,1512593100000,2017-12-06,2017/2018,3,"{'F. Llorente':'20''','G. N''koudou':'80''','Son Heung-Min':'37'''}","{'D. Alli':'80''','F. Llorente':'37''','S. Aurier':'20'''}","{'Danny Rose':'67''','S. Aurier':'64'''}",,,"{'M. Dembélé':'Son Heung-Min,65''','K. Walker-Peters':'Danny Rose,70''','K. Sterling':'D. Alli,88'''}",Tottenham Hotspur,65,11,9,20,0,6,42.679
CHAMPIONS,1,"{'S. Mané':'55'''}","{'D. Lovren':'55'''}","{'S. Mané':'82'''}",,,"{'A. Lallana':'M. Salah,30''','E. Can':'J. Milner,83'''}",Liverpool,35,2,5,18,2,1527367500000,2018-05-26,2017/2018,3,"{'G. Bale':'64'',83''','K. Benzema':'51'''}","{'Marcelo':'64'''}",,,,"{'Nacho':'D. Carvajal,36''','G. Bale':'Isco,61''','M. Asensio':'K. Benzema,88'''}",Real Madrid,65,5,9,5,1,final,61.561
