leagueid,awaygoals,awaygoalsplayer,awayassistplayer,awaycardsyellow,awaycardsred,awaycardsyellowred,awaysubstitution,awayteam,awaypossession,awayshotsontarge,awaycorners,awayfouls,awaygoliesaves,dategame,shortdate,season,homegoal,homegoalsplayer,homeassistplayer,homecardsyellow,homecardsred,homecardsyellowred,homesubstitution,hometeam,homepossession,homeshotsontarget,homecorners,homefouls,homegoliesaves,matchweek,attendance
CHAMPIONS,2,"{'G. Élber':'40''','C. Jancker':'36'''}","{'G. Élber':'36''','M. Basler':'40'''}","{'Dietmar Hamann':''}",,,"{'T. Fink':'M. Scholl,31''','A. Zickler':'G. Élber,76'''}",Bayern München,,,,,,879278400000,1997-11-11,1997/1998,0,,,"{'W. Feiersinger':'','Paulo Sousa':''}",,,"{'M. Zorc':'S. Freund,46''','Christian Timm':'B. Gambo,58'''}",B. Dortmund,,,,,,17,55000
CHAMPIONS,2,"{'Thomas Helmer':'31''','C. Jancker':'5'''}",,,,,"{'Ruggiero Rizzitelli':'C. Jancker,82''','A. Zickler':'M. Scholl,83''','M. Babbel':'T. Fink,88'''}",Bayern München,,,,,,880502400000,1997-11-26,1997/1998,0,,,,,,"{'Emre Eren':'R. Çetin,60''','Amokachi':'Hikmet Çapanoğlu,63''','Osman Üstünel':'Serdar Topraktepe,81'''}",Beşiktaş,,,,,,5,26000
CHAMPIONS,2,"{'Möller':'86''','P. Cocu':'70'''}",,,"{'C. Van Der Weerden':'34'''}",,"{'Vampeta':'T. Iwan,39''','L. Nilis':'B. Zenden,67''','Möller':'Wim Jonk,83'''}",PSV,,,,,,875664000000,1997-10-01,1997/1998,2,"{'Luis Enrique':'61'',73'''}",,"{'M. Nadal':'58'''}",,,"{'C. Dugarry':'Sonny Anderson,15''','P. Guardiola':'M. Nadal,58''','J. Pizzi':'D. Ciric,72'''}",Barcelona,,,,,,2,80000
CHAMPIONS,2,"{'John Beresford':'78'''}",,,,,"{'J. Tomasson':'Faustino Asprilla,28''','T. Ketsbaia':'Rob Lee,46'''}",Newcastle,,,,,,875664000000,1997-10-01,1997/1998,2,"{'A. Shevchenko':'28''','S. Rebrov':'4'''}",,,,,"{'S. Bezhenar':'O. Luzhniy,41''','Dmitro Mikhaylenko':'V. Belkevich,68''','O. Radchenko':'A. Khatskevich,74'''}",Dinamo Kiev,,,,,,2,100000
CHAMPIONS,0,,,"{'D. Baggio':'1''','R. Mussi':'1'''}",,,"{'M. Crippa':'P. Strada,31''','Filippo Maniero':'M. Stanic,70''','S. Fiore':'Enrico Chiesa,79'''}",Parma,,,,,,878688000000,1997-11-05,1997/1998,2,"{'A. Möller':'50'',75'''}",,,,,"{'J. Kirovski':'Christian Timm,46''','S. Booth':'S. Chapuisat,54''','S. Freund':'Paulo Sousa,79'''}",B. Dortmund,,,,,,4,40000
CHAMPIONS,0,,,"{'Jaime':'89'''}",,,"{'Jaime':'Raúl,74''','Guti':'C. Seedorf,88''','Víctor':'F. Morientes,90'''}",Real Madrid,,,,,,892598400000,1998-04-15,1997/1998,0,,,"{'S. Reuter':''}",,,"{'M. Zorc':'M. Kree,12''','H. Decheiver':'I. Tanko,71''','Christian Timm':'L. Ricken,76'''}",B. Dortmund,,,,,,semifinales,48500
CHAMPIONS,4,"{'F. Inzaghi':'29'',65'',73''','A. Del Piero':'89'''}",,,,,"{'Dimas':'A. Birindelli,7''','A. Tacchinardi':'F. Inzaghi,79'''}",Juventus,,,,,,890179200000,1998-03-18,1997/1998,1,"{'S. Rebrov':'54'''}",,,,,"{'V. Kardash':'Yuriy Kalitvintsev,37''','O. Radchenko':'A. Khatskevich,63'''}",Dinamo Kiev,,,,,,cuartos,100000
CHAMPIONS,0,,,"{'Nico Van Kerckhoven':'','Ives Serneels':'','P. Haagdoren':'','Frank Leen':''}",,,"{'Robby Van De Weyer':'C. Hoefkens,68''','Daniël Scavone':'Pieter Huistra,81'''}",Lierse SK,,,,,,874454400000,1997-09-17,1997/1998,1,,,"{'C. Ramelow':'','U. Kirsten':'','S. Beinlich':'78''','Markus Happe':''}",,"{'S. Beinlich':'79'''}","{'P. Rink':'U. Kirsten,75''','R. Kovac':'N. Kovac,86''','Émerson':'J. Nowotny,90'''}",B. Leverkusen,,,,,,1,22500
CHAMPIONS,0,,,"{'M. Binz':''}",,,"{'M. Zorc':'B. Gambo,68''','Steinar Pedersen':'Christian Timm,71'''}",B. Dortmund,,,,,,894727800000,1998-05-09,1997/1998,4,"{'G. Élber':'83'',90''','M. Scholl':'47''','L. Matthäus':'48'''}","{'Thomas Helmer':'47''','M. Tarnat':'90''','B. Lizarazu':'48''','T. Strunz':'83'''}","{'G. Élber':'','M. Basler':''}",,,"{'G. Élber':'C. Jancker,50''','T. Strunz':'M. Basler,66''','Ruggiero Rizzitelli':'M. Scholl,68'''}",Bayern München,,,,,,34,63000
CHAMPIONS,1,,,"{'M. Nilsson':'','Magnus Johansson':''}",,,"{'Christian Lundström':'Johnny Ekstrom,72''','Emmanuel Tetteh':'R. Andersson,82''','J. Svensson':'M. Martinsson,89'''}",IFK Göteborg,,,,,,881712000000,1997-12-10,1997/1998,0,,,"{'Thomas Helmer':''}",,,"{'C. Nerlinger':'Thomas Helmer,21''','G. Élber':'Ruggiero Rizzitelli,62''','Gerster':'A. Zickler,62'''}",Bayern München,,,,,,6,27000
